horse_name,frame,horse_number,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style
ダノンデサイル,1,1,62.5,72.82,85.38,50.0,85.0,100.0,71.7,78.75,先行
ミュージアムマイル,1,2,62.5,72.82,85.38,50.0,85.0,100.0,63.5,80.84,先行
シュガークン,2,3,62.5,72.82,85.38,50.0,85.0,100.0,63.5,80.84,先行
ミクニインスパイア,2,4,62.5,72.82,85.38,50.0,85.0,100.0,67.4,76.89,先行
クロワデュノール,3,5,62.5,72.82,85.38,50.0,85.0,100.0,71.7,78.75,先行
ビザンチンドリーム,3,6,62.5,72.82,85.38,50.0,85.0,100.0,67.4,76.89,先行
ファミリータイム,4,7,62.5,72.82,85.38,50.0,85.0,100.0,71.7,78.75,先行
タガノデュード,4,8,62.5,72.82,85.38,50.0,85.0,100.0,71.7,78.75,先行
コスモキュランダ,5,9,62.4,71.82,85.1,50.0,85.0,100.0,63.1,71.13,先行
ジューンテイク,5,10,62.5,72.82,85.38,50.0,85.0,100.0,71.7,78.75,先行
シンエンペラー,6,11,62.5,72.82,85.38,50.0,85.0,100.0,71.7,78.75,先行
マイネルエンペラー,6,12,62.5,72.82,85.38,50.0,85.0,100.0,63.5,80.84,先行
シェイクユアハート,7,13,62.5,72.82,85.38,50.0,85.0,100.0,63.5,80.84,先行
スティンガーグラス,7,14,62.4,71.82,85.1,50.0,85.0,100.0,63.1,71.13,先行
マイユニバース,7,15,62.5,72.82,85.38,50.0,85.0,100.0,67.4,76.89,先行
メイショウタバル,8,16,62.5,72.82,85.38,50.0,85.0,100.0,63.5,80.84,先行
レガレイラ,8,17,62.5,72.82,85.38,50.0,85.0,100.0,71.7,78.75,先行
ミステリーウェイ,8,18,62.5,71.82,85.1,50.0,85.0,100.0,58.8,77.62,先行
