horse_name,frame,horse_number,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,avg_first_ratio,avg_last_corner_ratio,avg_late_gain
ダノンデサイル,1,1,98.87,71.68,73.99,42.4,58.0,12.91,60.0,81.2,先行,42.4,58.0,0.0,12.91,15.76,0.204,0.154,-0.2
ミュージアムマイル,1,2,74.62,73.08,100.0,0.0,13.6,74.5,50.6,75.05,差し,0.0,13.6,74.5,43.1,19.1,0.512,0.45,4.2
シュガークン,2,3,74.72,74.4,100.0,0.0,8.8,76.59,42.8,76.2,差し,0.0,8.8,76.59,47.79,19.1,0.512,0.45,4.4
ミクニインスパイア,2,4,100.0,66.23,67.64,72.0,12.8,7.73,68.6,80.17,逃げ,72.0,12.8,0.0,7.73,17.87,0.062,0.15,-0.2
クロワデュノール,3,5,98.97,73.0,75.5,42.4,58.0,15.6,75.6,90.63,先行,42.4,58.0,0.0,15.6,15.76,0.204,0.154,0.0
ビザンチンドリーム,3,6,100.0,66.23,67.64,72.0,12.8,7.73,68.6,80.17,逃げ,72.0,12.8,0.0,7.73,17.87,0.062,0.15,-0.2
ファミリータイム,4,7,99.07,74.32,76.62,42.4,60.4,15.89,67.8,84.46,先行,42.4,60.4,1.46,15.89,15.76,0.204,0.154,0.2
タガノデュード,4,8,98.87,71.68,73.99,42.4,58.0,12.91,60.0,81.2,先行,42.4,58.0,0.0,12.91,15.76,0.204,0.154,-0.2
コスモキュランダ,5,9,84.0,66.04,84.31,20.0,41.6,34.95,67.8,85.17,自在,20.0,41.6,34.95,21.07,57.67,0.4,0.175,-0.2
ジューンテイク,5,10,98.97,73.0,75.5,42.4,58.0,15.6,75.6,90.63,先行,42.4,58.0,0.0,15.6,15.76,0.204,0.154,0.0
シンエンペラー,6,11,98.87,71.68,73.99,42.4,58.0,12.91,60.0,81.2,先行,42.4,58.0,0.0,12.91,15.76,0.204,0.154,-0.2
マイネルエンペラー,6,12,74.62,73.08,100.0,0.0,13.6,74.5,50.6,75.05,差し,0.0,13.6,74.5,43.1,19.1,0.512,0.45,4.2
シェイクユアハート,7,13,74.72,74.4,100.0,0.0,8.8,76.59,42.8,76.2,差し,0.0,8.8,76.59,47.79,19.1,0.512,0.45,4.4
スティンガーグラス,7,14,84.0,66.04,84.31,20.0,41.6,34.95,67.8,85.17,自在,20.0,41.6,34.95,21.07,57.67,0.4,0.175,-0.2
マイユニバース,7,15,100.0,66.23,67.64,72.0,12.8,7.73,68.6,80.17,逃げ,72.0,12.8,0.0,7.73,17.87,0.062,0.15,-0.2
メイショウタバル,8,16,74.52,71.76,100.0,0.0,8.8,77.17,58.4,91.4,差し,0.0,8.8,77.17,44.37,19.1,0.512,0.45,4.0
レガレイラ,8,17,99.07,74.32,76.62,42.4,60.4,15.89,67.8,84.46,先行,42.4,60.4,1.46,15.89,15.76,0.204,0.154,0.2
ミステリーウェイ,8,18,61.43,79.76,100.0,0.0,0.0,100.0,42.8,72.59,追込,0.0,0.0,100.0,97.6,23.64,0.733,0.678,9.0
