horse_name,frame,horse_number,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders
ダノンデサイル,1,1,98.61,73.08,75.59,36.2,58.36,0.0,60.0,81.2,先行,36.2,58.36,0.0,0.0,2.81,0.196,0.196,0.196,0.67,0.196,0.0018,10,"['3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2']"
ミュージアムマイル,1,2,75.19,72.39,100.0,0.0,29.85,56.91,50.6,75.05,差し,0.0,29.85,56.91,35.38,3.73,0.503,0.503,0.441,3.76,0.483,0.0023,10,"['8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4']"
シュガークン,2,3,75.29,73.71,100.0,0.0,29.85,58.71,42.8,76.2,差し,0.0,29.85,58.71,37.78,3.73,0.503,0.503,0.441,3.96,0.483,0.0023,10,"['8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4']"
ミクニインスパイア,2,4,100.0,64.54,61.97,85.07,14.39,0.0,68.6,80.17,逃げ,85.07,14.39,0.0,0.0,0.14,0.062,0.062,0.08,-1.25,0.068,0.0001,10,"['1-1-1-1', '1-1-1-4', '1-1-2-2', '1-1-1-1', '1-1-1-4', '1-1-2-2', '1-1-1-1', '1-1-1-4', '1-1-2-2', '1-1-1-1']"
クロワデュノール,3,5,98.71,74.05,75.75,36.2,58.36,0.0,75.6,90.63,先行,36.2,58.36,0.0,0.0,2.81,0.196,0.196,0.196,0.65,0.196,0.0018,10,"['3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2']"
ビザンチンドリーム,3,6,100.0,64.54,61.97,85.07,14.39,0.0,68.6,80.17,逃げ,85.07,14.39,0.0,0.0,0.14,0.062,0.062,0.08,-1.25,0.068,0.0001,10,"['1-1-1-1', '1-1-1-4', '1-1-2-2', '1-1-1-1', '1-1-1-4', '1-1-2-2', '1-1-1-1', '1-1-1-4', '1-1-2-2', '1-1-1-1']"
ファミリータイム,4,7,98.81,75.37,76.83,36.2,58.36,0.0,67.8,84.46,先行,36.2,58.36,0.0,0.0,2.81,0.196,0.196,0.196,0.85,0.196,0.0018,10,"['3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2']"
タガノデュード,4,8,98.61,73.08,75.59,36.2,58.36,0.0,60.0,81.2,先行,36.2,58.36,0.0,0.0,2.81,0.196,0.196,0.196,0.67,0.196,0.0018,10,"['3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2']"
コスモキュランダ,5,9,85.64,68.89,87.9,2.59,73.45,10.59,67.8,85.17,自在,2.59,73.45,10.59,0.0,100.0,0.34,0.34,0.282,1.58,0.32,0.0381,10,"['2-2-2-2', '10-10-8-5', '5-5-4-3', '2-2-2-2', '10-10-8-5', '5-5-4-3', '2-2-2-2', '10-10-8-5', '5-5-4-3', '2-2-2-2']"
ジューンテイク,5,10,98.71,74.05,75.75,36.2,58.36,0.0,75.6,90.63,先行,36.2,58.36,0.0,0.0,2.81,0.196,0.196,0.196,0.65,0.196,0.0018,10,"['3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2']"
シンエンペラー,6,11,98.61,73.08,75.59,36.2,58.36,0.0,60.0,81.2,先行,36.2,58.36,0.0,0.0,2.81,0.196,0.196,0.196,0.67,0.196,0.0018,10,"['3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2', '4-4-4-3', '2-2-2-2', '3-3-3-2']"
マイネルエンペラー,6,12,75.19,72.39,100.0,0.0,29.85,56.91,50.6,75.05,差し,0.0,29.85,56.91,35.38,3.73,0.503,0.503,0.441,3.76,0.483,0.0023,10,"['8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4']"
シェイクユアハート,7,13,75.29,73.71,100.0,0.0,29.85,58.71,42.8,76.2,差し,0.0,29.85,58.71,37.78,3.73,0.503,0.503,0.441,3.96,0.483,0.0023,10,"['8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4', '9-9-8-2', '7-7-6-5', '8-8-7-4']"
