horse_name,frame,horse_number,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,actual_running_style,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ダノンデサイル,1,1,95.24,100.0,100.0,8.18,23.42,47.8,67.0,94.48,自在,自在,"{'逃げ': 0.08181818181818182, '先行': 0.23417104590886578, '差し': 0.4780101196308583, '追込': 0.2060006526420941}",0.082,0.234,0.478,0.206,8.18,23.42,47.8,20.6,55.0,0.437,0.449,0.483,5.31,0.456,0.0279,10,"['11-12-12-9', '6-6-6-7', '9-9-8-7', '8-8-10-9', '7-7-7-5', '1-1-1-1', '8-9-14-15', '4-3-6-4', '4-5-5-5', '11-10-9-10']",差し,0.09518737663137739,0.2698402741724428,0.45751930952412706,0.17745303967205278
ミュージアムマイル,1,2,84.2,100.0,100.0,0.36,24.39,40.22,16.2,57.24,自在,自在,"{'逃げ': 0.0036115982077701133, '先行': 0.24389586865140586, '差し': 0.3503210854031331, '追込': 0.402171447737691}",0.004,0.244,0.35,0.402,0.36,24.39,35.03,40.22,55.0,0.55,0.553,0.542,4.8,0.548,0.0216,10,"['6-6-7-6', '11-11-11-11', '9-9-9', '8-8-6-6', '11-11-11-10', '8-8-8-10', '9-9-9-4', '3-4', '6-6-6-3', '3-3']",先行,0.004345169890242192,0.29064028900268923,0.34674995556401805,0.3582645855430504
ジューンテイク,2,3,87.19,84.41,89.67,13.49,43.05,24.6,12.0,50.37,自在,自在,"{'逃げ': 0.13488765340210193, '先行': 0.4304902757792718, '差し': 0.246017514477767, '追込': 0.18860455634085918}",0.135,0.43,0.246,0.189,13.49,43.05,24.6,18.86,100.0,0.472,0.461,0.401,-0.51,0.445,0.0615,10,"['7-7-5-3', '7-6-3-3', '2-2-2-2', '12-11-7-6', '14-14-17-18', '13-14-14-13', '2-2-2-3', '8-8-10', '3-3-2-2', '6-7-9-7']",追込,0.14932331601413742,0.47202262118696137,0.22405996122404392,0.15459410157485726
ジューンテイク,2,3,87.19,84.41,89.67,13.49,43.05,24.6,12.0,50.37,自在,自在,"{'逃げ': 0.13488765340210193, '先行': 0.4304902757792718, '差し': 0.246017514477767, '追込': 0.18860455634085918}",0.135,0.43,0.246,0.189,13.49,43.05,24.6,18.86,100.0,0.472,0.461,0.401,-0.51,0.445,0.0615,10,"['7-7-5-3', '7-6-3-3', '2-2-2-2', '12-11-7-6', '14-14-17-18', '13-14-14-13', '2-2-2-3', '8-8-10', '3-3-2-2', '6-7-9-7']",差し,0.14311900407225725,0.45676040748263663,0.23676229133599636,0.1633582971091097
ミクニインスパイア,2,4,88.09,92.29,89.9,15.37,48.06,32.4,37.3,28.48,先行,先行,"{'逃げ': 0.15371101212819718, '先行': 0.4806321539671108, '差し': 0.32401638282333656, '追込': 0.04164045108135539}",0.154,0.481,0.324,0.042,15.37,48.06,32.4,4.16,33.28,0.356,0.315,0.316,1.48,0.329,0.0166,9,"['7-7-10-11', '5-5-5-6', '9-6-3-2', '1-1-1-1', '6-6-4-3', '2-2-3-3', '7-7', '5-2-2-1', '8-8-12-11']",先行,0.16578572906577763,0.5134510223521582,0.28750932458217054,0.03325392399989359
クロワデュノール,3,5,100.0,100.0,100.0,4.16,69.29,22.48,77.2,91.6,先行,先行,"{'逃げ': 0.04155495743087129, '先行': 0.6929017508143429, '差し': 0.2248038157994079, '追込': 0.040739475955377885}",0.042,0.693,0.225,0.041,4.16,69.29,22.48,4.07,21.67,0.327,0.31,0.265,2.57,0.301,0.0094,9,"['5-5-4-3', '6-5-5-3', '8-8-6-4', '4-4-4-5', '4-3-2-3', '4-4-6-2', '7-7-4-3', '3-3-2', '2-2-2']",先行,0.04406820597687568,0.7278103509646847,0.19613225034125198,0.03198919271718774
ビザンチンドリーム,3,6,57.47,100.0,100.0,0.0,0.0,55.71,2.1,30.05,追込,追込,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.44288817734353475, '追込': 0.5571118226564653}",0.0,0.0,0.443,0.557,0.0,0.0,44.29,55.71,5.03,0.85,0.849,0.758,4.37,0.819,0.0031,9,"['16-16-12-11', '14-14-12-8', '16-15-10-10', '12-15-14-10', '12-11-12-13', '12-13-16-16', '16-16-16-15', '11-9', '10-9-8-8']",追込,0.0,0.0,0.46901770838096235,0.5309822916190376
ファミリータイム,4,7,94.76,94.27,87.31,23.9,46.15,29.21,38.8,56.14,先行,先行,"{'逃げ': 0.23902828850757282, '先行': 0.46147164206073854, '差し': 0.29213058438267747, '追込': 0.007369485049011044}",0.239,0.461,0.292,0.007,23.9,46.15,29.21,0.74,75.44,0.287,0.287,0.305,-0.25,0.293,0.0225,10,"['9-9-8-7', '2-2-2-8', '1-1-1-1', '6-6-9-6', '2-2-2-2', '2-2-2-2', '1-1-1-2', '5-5', '7-7-7-7', '5-5-9-9']",先行,0.24604376176366888,0.4750158212185175,0.2727479441859567,0.00619247283185692
タガノデュード,4,8,66.81,100.0,100.0,0.0,7.8,48.19,45.8,73.6,自在,自在,"{'逃げ': 0.0, '先行': 0.07800377903986942, '差し': 0.4400698154012675, '追込': 0.48192640555886307}",0.0,0.078,0.44,0.482,0.0,7.8,44.01,48.19,55.0,0.79,0.772,0.71,7.15,0.757,0.0329,10,"['18-18-17-16', '13-13-13-12', '13-13-12-7', '14-14-11-7', '6-5-4-3', '8-8-7-5', '13-12', '6-6-6-4', '7-7-7-7', '5-4-4-4']",追込,0.0,0.08960087547005267,0.45850026671671834,0.45189885781322897
コスモキュランダ,5,9,100.0,89.25,70.43,35.05,51.56,7.3,60.0,53.6,自在,自在,"{'逃げ': 0.3505476661184918, '先行': 0.5156288955250803, '差し': 0.07297089748930423, '追込': 0.06085254086712371}",0.351,0.516,0.073,0.061,35.05,51.56,7.3,6.09,66.14,0.289,0.3,0.219,-3.33,0.269,0.0378,10,"['1-1-1-1', '4-3-3-3', '2-3-2-2', '6-6-4-3', '2-3-3', '5-5-2-2', '12-13-13-13', '5-6-5-5', '14-13-3-2', '14-13-5-5']",先行,0.35695905761924646,0.5250595636990215,0.0673972871827688,0.050584091498963354
