horse_name,frame,horse_number,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,avg_opponent_strength_score,avg_race_score,race_power,actual_running_style,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ダノンデサイル,1,1,95.31,100.0,100.0,8.18,23.42,47.8,67.0,94.63,自在,自在,"{'逃げ': 0.08181818181818182, '先行': 0.23417104590886578, '差し': 0.4780101196308583, '追込': 0.2060006526420941}",0.082,0.234,0.478,0.206,8.18,23.42,47.8,20.6,55.0,0.437,0.449,0.483,5.31,0.456,0.0279,10,"['11-12-12-9', '6-6-6-7', '9-9-8-7', '8-8-10-9', '7-7-7-5', '1-1-1-1', '8-9-14-15', '4-3-6-4', '4-5-5-5', '11-10-9-10']",77.96,79.18,79.18,差し,0.08732467773039533,0.24993113588399385,0.4775298687102236,0.18521431767538718
ミュージアムマイル,1,2,83.99,100.0,100.0,0.36,24.39,40.22,16.2,57.34,自在,自在,"{'逃げ': 0.0036115982077701133, '先行': 0.24389586865140586, '差し': 0.3503210854031331, '追込': 0.402171447737691}",0.004,0.244,0.35,0.402,0.36,24.39,35.03,40.22,55.0,0.55,0.553,0.542,4.8,0.548,0.0216,10,"['6-6-7-6', '11-11-11-11', '9-9-9', '8-8-6-6', '11-11-11-10', '8-8-8-10', '9-9-9-4', '3-4', '6-6-6-3', '3-3']",73.8,73.2,73.2,先行,0.003950564991868997,0.26678673122684576,0.35867602068686044,0.3705866830944248
シュガークン,2,3,98.08,79.41,58.91,40.42,51.04,6.86,17.4,3.47,先行,先行,"{'逃げ': 0.4041603986324535, '先行': 0.51044777296412, '差し': 0.06859286315535493, '追込': 0.016798965248071514}",0.404,0.51,0.069,0.017,40.42,51.04,6.86,1.68,12.12,0.192,0.195,0.21,-4.53,0.199,0.0076,7,"['3-3-5-7', '2-2', '2-2-2-1', '4-5-5-6', '1-1-1-1', '5-5-4-2', '6-5']",64.57,52.47,52.47,先行,0.40702478746824267,0.5140654477958928,0.06465800720017598,0.014251757535688544
ミクニインスパイア,2,4,87.42,92.28,89.6,15.37,48.06,32.4,37.3,28.47,先行,先行,"{'逃げ': 0.15371101212819718, '先行': 0.4806321539671108, '差し': 0.32401638282333656, '追込': 0.04164045108135539}",0.154,0.481,0.324,0.042,15.37,48.06,32.4,4.16,33.28,0.356,0.315,0.316,1.48,0.329,0.0166,9,"['7-7-10-11', '5-5-5-6', '9-6-3-2', '1-1-1-1', '6-6-4-3', '2-2-3-3', '7-7', '5-2-2-1', '8-8-12-11']",64.08,62.77,62.77,先行,0.1580249746645876,0.49412129230073565,0.3117913048963267,0.0360624281383501
クロワデュノール,3,5,100.0,100.0,100.0,4.16,69.29,22.48,77.2,91.76,先行,先行,"{'逃げ': 0.04155495743087129, '先行': 0.6929017508143429, '差し': 0.2248038157994079, '追込': 0.040739475955377885}",0.042,0.693,0.225,0.041,4.16,69.29,22.48,4.07,21.67,0.327,0.31,0.265,2.57,0.301,0.0094,9,"['5-5-4-3', '6-5-5-3', '8-8-6-4', '4-4-4-5', '4-3-2-3', '4-4-6-2', '7-7-4-3', '3-3-2', '2-2-2']",79.43,84.15,84.15,先行,0.042437996260794524,0.7076258460635972,0.21488791403973811,0.035048243635870044
ビザンチンドリーム,3,6,56.7,100.0,100.0,0.0,0.0,55.71,2.1,30.11,追込,追込,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.44288817734353475, '追込': 0.5571118226564653}",0.0,0.0,0.443,0.557,0.0,0.0,44.29,55.71,5.03,0.85,0.849,0.758,4.37,0.819,0.0031,9,"['16-16-12-11', '14-14-12-8', '16-15-10-10', '12-15-14-10', '12-11-12-13', '12-13-16-16', '16-16-16-15', '11-9', '10-9-8-8']",71.21,58.42,58.42,追込,0.0,0.0,0.46901770838096235,0.5309822916190376
ファミリータイム,4,7,93.91,94.23,86.92,23.9,46.15,29.21,38.8,56.11,先行,先行,"{'逃げ': 0.23902828850757282, '先行': 0.46147164206073854, '差し': 0.29213058438267747, '追込': 0.007369485049011044}",0.239,0.461,0.292,0.007,23.9,46.15,29.21,0.74,75.44,0.287,0.287,0.305,-0.25,0.293,0.0225,10,"['9-9-8-7', '2-2-2-8', '1-1-1-1', '6-6-9-6', '2-2-2-2', '2-2-2-2', '1-1-1-2', '5-5', '7-7-7-7', '5-5-9-9']",65.22,60.59,60.59,先行,0.2438709581568666,0.4708209735937153,0.27897423366125496,0.006333834588163226
タガノデュード,4,8,66.43,100.0,100.0,0.0,7.8,48.19,45.8,73.66,自在,自在,"{'逃げ': 0.0, '先行': 0.07800377903986942, '差し': 0.4400698154012675, '追込': 0.48192640555886307}",0.0,0.078,0.44,0.482,0.0,7.8,44.01,48.19,55.0,0.79,0.772,0.71,7.15,0.757,0.0329,10,"['18-18-17-16', '13-13-13-12', '13-13-12-7', '14-14-11-7', '6-5-4-3', '8-8-7-5', '13-12', '6-6-6-4', '7-7-7-7', '5-4-4-4']",72.37,71.2,71.2,追込,0.0,0.08706898872695809,0.45977538958945263,0.4531556216835893
コスモキュランダ,5,9,100.0,89.5,70.39,35.05,51.56,7.3,60.0,53.76,自在,自在,"{'逃げ': 0.3505476661184918, '先行': 0.5156288955250803, '差し': 0.07297089748930423, '追込': 0.06085254086712371}",0.351,0.516,0.073,0.061,35.05,51.56,7.3,6.09,66.14,0.289,0.3,0.219,-3.33,0.269,0.0378,10,"['1-1-1-1', '4-3-3-3', '2-3-2-2', '6-6-4-3', '2-3-3', '5-5-2-2', '12-13-13-13', '5-6-5-5', '14-13-3-2', '14-13-5-5']",72.73,64.22,64.22,先行,0.3556189265477171,0.5230883330475016,0.06928891448453488,0.052003825920246355
ジューンテイク,5,10,87.02,84.65,89.66,13.49,43.05,24.6,12.0,50.53,自在,自在,"{'逃げ': 0.13488765340210193, '先行': 0.4304902757792718, '差し': 0.246017514477767, '追込': 0.18860455634085918}",0.135,0.43,0.246,0.189,13.49,43.05,24.6,18.86,100.0,0.472,0.461,0.401,-0.51,0.445,0.0615,10,"['7-7-5-3', '7-6-3-3', '2-2-2-2', '12-11-7-6', '14-14-17-18', '13-14-14-13', '2-2-2-3', '8-8-10', '3-3-2-2', '6-7-9-7']",71.72,67.11,67.11,差し,0.14131298672521891,0.4509965522580891,0.24124159189419814,0.1664488691224938
