horse_name,frame,horse_number,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ダノンデサイル,1,1,98.07,100.0,0.0,8.18,23.42,47.8,67.0,96.89,自在,自在,"{'逃げ': 0.08181818181818182, '先行': 0.23417104590886578, '差し': 0.4780101196308583, '追込': 0.2060006526420941}",0.082,0.234,0.478,0.206,8.18,23.42,47.8,20.6,55.0,0.437,0.449,0.483,5.31,0.456,0.0279,10,"['11-12-12-9', '6-6-6-7', '9-9-8-7', '8-8-10-9', '7-7-7-5', '1-1-1-1', '8-9-14-15', '4-3-6-4', '4-5-5-5', '11-10-9-10']",78.03,75.89,85.57,94.2,83.22,85.46,75.57,48.9,82.14,80.58,0.504,0.49,0.875,0.757,100.0,75.69,56.88,48.667,33.8,0.0,87.5,50.4,61.02,86.45,78.44,64.7,65.0,差し,0.08588726894045633,0.2434305675620702,0.478789278999332,0.19189288449814146
ミュージアムマイル,1,2,86.45,100.0,0.0,0.36,24.39,40.22,16.2,56.96,自在,自在,"{'逃げ': 0.0036115982077701133, '先行': 0.24389586865140586, '差し': 0.3503210854031331, '追込': 0.402171447737691}",0.004,0.244,0.35,0.402,0.36,24.39,35.03,40.22,55.0,0.55,0.553,0.542,4.8,0.548,0.0216,10,"['6-6-7-6', '11-11-11-11', '9-9-9', '8-8-6-6', '11-11-11-10', '8-8-8-10', '9-9-9-4', '3-4', '6-6-6-3', '3-3']",73.82,71.08,82.71,93.9,76.22,74.39,68.88,57.73,78.52,76.66,0.425,0.425,0.719,0.695,100.0,69.45,56.43,48.88,32.3,0.0,71.9,42.51,54.63,79.71,72.36,62.05,65.0,先行,0.003857359499418881,0.25796339167303994,0.357014062196684,0.3811651866308571
シュガークン,2,3,98.45,80.11,0.0,40.42,51.04,6.86,17.4,4.88,先行,先行,"{'逃げ': 0.4041603986324535, '先行': 0.51044777296412, '差し': 0.06859286315535493, '追込': 0.016798965248071514}",0.404,0.51,0.069,0.017,40.42,51.04,6.86,1.68,12.12,0.192,0.195,0.21,-4.53,0.199,0.0076,7,"['3-3-5-7', '2-2', '2-2-2-1', '4-5-5-6', '1-1-1-1', '5-5-4-2', '6-5']",64.42,49.34,66.86,85.37,38.43,45.73,56.57,49.1,58.9,56.51,0.849,0.838,0.118,0.573,100.0,57.33,33.18,50.133,33.9,0.0,11.76,84.86,71.91,50.37,57.1,63.91,65.0,先行,0.40823905993870585,0.5105932374113247,0.06611014149622282,0.015057561153746589
ミクニインスパイア,2,4,89.72,94.82,0.0,15.37,48.06,32.4,37.3,27.81,先行,先行,"{'逃げ': 0.15371101212819718, '先行': 0.4806321539671108, '差し': 0.32401638282333656, '追込': 0.04164045108135539}",0.154,0.481,0.324,0.042,15.37,48.06,32.4,4.16,33.28,0.356,0.315,0.316,1.48,0.329,0.0166,9,"['7-7-10-11', '5-5-5-6', '9-6-3-2', '1-1-1-1', '6-6-4-3', '2-2-3-3', '7-7', '5-2-2-1', '8-8-12-11']",64.57,60.1,81.29,75.04,74.14,69.24,62.17,51.21,71.88,68.94,0.627,0.67,0.291,0.63,100.0,63.0,38.58,49.13,33.6,0.0,29.06,62.7,65.19,75.48,63.53,62.62,65.0,先行,0.15752364469641494,0.4877716310197512,0.31683714870316637,0.03786757558066753
クロワデュノール,3,5,100.0,100.0,0.0,4.16,69.29,22.48,77.2,93.91,先行,先行,"{'逃げ': 0.04155495743087129, '先行': 0.6929017508143429, '差し': 0.2248038157994079, '追込': 0.040739475955377885}",0.042,0.693,0.225,0.041,4.16,69.29,22.48,4.07,21.67,0.327,0.31,0.265,2.57,0.301,0.0094,9,"['5-5-4-3', '6-5-5-3', '8-8-6-4', '4-4-4-5', '4-3-2-3', '4-4-6-2', '7-7-4-3', '3-3-2', '2-2-2']",79.49,80.6,90.0,95.0,89.54,94.19,79.13,50.47,86.5,85.02,0.659,0.683,0.465,0.796,100.0,79.6,45.74,49.983,34.2,0.0,46.51,65.94,73.37,89.7,82.85,72.88,65.0,先行,0.04247308178007964,0.7013350404326507,0.21924160267317735,0.0369502751140923
ビザンチンドリーム,3,6,57.85,100.0,0.0,0.0,0.0,55.71,2.1,27.1,追込,追込,"{'逃げ': 0.0, '先行': 0.0, '差し': 0.44288817734353475, '追込': 0.5571118226564653}",0.0,0.0,0.443,0.557,0.0,0.0,44.29,55.71,5.03,0.85,0.849,0.758,4.37,0.819,0.0031,9,"['16-16-12-11', '14-14-12-8', '16-15-10-10', '12-15-14-10', '12-11-12-13', '12-13-16-16', '16-16-16-15', '11-9', '10-9-8-8']",71.19,57.27,66.29,92.8,57.02,54.49,56.65,43.1,64.68,62.83,0.145,0.137,0.677,0.571,100.0,57.07,48.09,48.907,34.9,0.0,67.7,14.48,33.24,69.56,60.23,45.14,65.0,追込,0.0,0.0,0.4608607452270321,0.5391392547729679
ファミリータイム,4,7,94.48,95.8,0.0,23.9,46.15,29.21,38.8,57.03,先行,先行,"{'逃げ': 0.23902828850757282, '先行': 0.46147164206073854, '差し': 0.29213058438267747, '追込': 0.007369485049011044}",0.239,0.461,0.292,0.007,23.9,46.15,29.21,0.74,75.44,0.287,0.287,0.305,-0.25,0.293,0.0225,10,"['9-9-8-7', '2-2-2-8', '1-1-1-1', '6-6-9-6', '2-2-2-2', '2-2-2-2', '1-1-1-2', '5-5', '7-7-7-7', '5-5-9-9']",65.42,56.68,58.07,86.09,58.29,53.82,60.33,49.27,62.43,60.99,0.723,0.723,0.183,0.607,100.0,60.66,35.7,49.032,33.8,0.0,18.25,72.29,67.06,66.45,60.66,62.17,65.0,先行,0.24358252904780242,0.4656984568322071,0.28405485617602183,0.006664157943968577
タガノデュード,4,8,67.65,100.0,0.0,0.0,7.8,48.19,45.8,75.15,自在,自在,"{'逃げ': 0.0, '先行': 0.07800377903986942, '差し': 0.4400698154012675, '追込': 0.48192640555886307}",0.0,0.078,0.44,0.482,0.0,7.8,44.01,48.19,55.0,0.79,0.772,0.71,7.15,0.757,0.0329,10,"['18-18-17-16', '13-13-13-12', '13-13-12-7', '14-14-11-7', '6-5-4-3', '8-8-7-5', '13-12', '6-6-6-4', '7-7-7-7', '5-4-4-4']",72.57,67.65,58.79,89.19,74.89,71.19,69.17,51.23,70.23,69.58,0.129,0.145,0.993,0.697,100.0,69.65,61.24,47.388,33.6,0.0,99.29,12.85,39.33,81.17,70.68,50.34,65.0,追込,0.0,0.08352739624580244,0.45404645750503664,0.46242614624916095
コスモキュランダ,5,9,100.0,90.91,0.0,35.05,51.56,7.3,60.0,56.87,自在,自在,"{'逃げ': 0.3505476661184918, '先行': 0.5156288955250803, '差し': 0.07297089748930423, '追込': 0.06085254086712371}",0.351,0.516,0.073,0.061,35.05,51.56,7.3,6.09,66.14,0.289,0.3,0.219,-3.33,0.269,0.0378,10,"['1-1-1-1', '4-3-3-3', '2-3-2-2', '6-6-4-3', '2-3-3', '5-5-2-2', '12-13-13-13', '5-6-5-5', '14-13-3-2', '14-13-5-5']",72.9,63.89,58.93,93.3,61.7,64.54,70.04,42.76,66.69,65.99,0.818,0.81,0.0,0.702,100.0,70.21,28.31,52.082,33.3,0.0,0.0,81.79,76.13,63.61,69.59,67.49,65.0,先行,0.3559592978056091,0.5185056049385354,0.07070193608241877,0.0548331611734367
ジューンテイク,5,10,88.4,85.64,0.0,13.49,43.05,24.6,12.0,53.59,自在,自在,"{'逃げ': 0.13488765340210193, '先行': 0.4304902757792718, '差し': 0.246017514477767, '追込': 0.18860455634085918}",0.135,0.43,0.246,0.189,13.49,43.05,24.6,18.86,100.0,0.472,0.461,0.401,-0.51,0.445,0.0615,10,"['7-7-5-3', '7-6-3-3', '2-2-2-2', '12-11-7-6', '14-14-17-18', '13-14-14-13', '2-2-2-3', '8-8-10', '3-3-2-2', '6-7-9-7']",71.83,66.27,58.79,89.06,68.46,69.85,69.13,53.85,68.98,68.3,0.524,0.549,0.278,0.697,100.0,69.68,40.68,49.21,33.6,0.0,27.78,52.36,61.58,76.32,69.71,62.01,65.0,差し,0.14002562725428983,0.4425492612854871,0.24368551294806565,0.1737395985121573
