horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
マカナ,1,1,50.0,-4.0,72.7,75.92,0.0,2.96,9.65,57.35,78.0,29.24,差し,差し,"{'逃げ': 0.02964731528819453, '先行': 0.09645193798528005, '差し': 0.5734822852510796, '追込': 0.30041846147544576}",0.03,0.096,0.573,0.3,2.96,9.65,57.35,30.04,34.65,0.598,0.614,0.561,4.11,0.591,0.0217,10,"['8-10-10-12', '10-12-8', '7-7', '5-6-11-13', '7-4-2-1', '11-9-6-6', '8-8-8-6', '14-14-9-4', '8-7-8-8', '10-8-7-5']",52.05,64.68,78.14,51.53,71.82,84.49,72.6,55.75,69.71,68.46,0.403,0.359,0.6,0.724,100.0,72.44,46.66,48.418,33.1,0.0,60.0,40.31,52.36,80.8,67.37,54.93,65.0,差し,0.029377746326450346,0.09557494630734355,0.5742346958861386,0.3008126114800675
ウイントワイライト,1,2,53.0,-4.0,66.55,58.29,0.0,5.19,3.34,46.37,43.3,19.84,自在,自在,"{'逃げ': 0.051923076923076926, '先行': 0.03335217576827061, '差し': 0.46373857461018286, '追込': 0.4509861726984696}",0.052,0.033,0.464,0.451,5.19,3.34,46.37,45.1,100.0,0.807,0.815,0.815,5.13,0.812,0.0701,8,"['18-18', '15-15', '9-10', '14-14', '12-12', '15-16', '4-3', '1-1']",62.6,63.02,82.0,73.49,49.4,69.11,83.47,63.31,70.12,68.35,0.118,0.104,0.726,0.83,100.0,83.0,56.87,44.625,32.5,0.0,72.58,11.75,43.08,84.78,73.61,48.13,65.0,追込,0.05142912028795006,0.0330348885523943,0.4641498514103704,0.4513861397492852
ブラウンラチェット,2,3,54.0,-4.0,76.68,71.49,0.0,16.89,42.01,30.59,17.8,27.93,自在,自在,"{'逃げ': 0.1689448229846517, '先行': 0.42014374097062474, '差し': 0.30588947466659006, '追込': 0.10502196137813348}",0.169,0.42,0.306,0.105,16.89,42.01,30.59,10.5,100.0,0.376,0.416,0.456,-2.96,0.416,0.0738,8,"['3-3-5-4', '1-1-1-1', '6-10-11-15', '10-10-11-11', '17-17', '11-12', '3-3', '3-3-3-2']",64.96,45.56,43.14,88.13,30.99,39.94,55.67,35.38,49.71,48.67,0.635,0.591,0.261,0.555,100.0,55.52,31.88,50.98,34.6,0.0,26.11,63.51,57.47,48.35,54.36,52.36,65.0,先行,0.1682190301903632,0.41833878894916154,0.30777340422975086,0.10566877663072448
ミアネーロ,2,4,55.0,-2.0,58.54,72.33,0.0,0.0,3.66,52.07,0.0,36.34,自在,自在,"{'逃げ': 0.0, '先行': 0.03659642047413568, '差し': 0.5206505785746876, '追込': 0.4427530009511768}",0.0,0.037,0.521,0.443,0.0,3.66,52.07,44.28,55.0,0.738,0.746,0.724,2.09,0.736,0.0139,10,"['13-13-13-13', '11-11-8-7', '8-10-10', '14-12-11-12', '12-12-14', '10-10-11-10', '8-9-8-8', '7-7-9-10', '7-7-7-6', '8-8-9']",58.82,50.55,64.14,76.87,34.08,49.07,57.69,49.53,56.31,54.87,0.205,0.201,0.441,0.598,100.0,59.78,42.42,50.57,34.1,0.0,44.08,20.48,37.97,69.03,57.14,44.22,65.0,追込,0.0,0.03622992802946539,0.5208486414710852,0.4429214304994493
エストゥペンダ,3,5,54.0,-4.0,61.28,85.58,52.51,4.16,0.47,51.97,50.0,74.63,自在,自在,"{'逃げ': 0.041596344474333934, '先行': 0.004660247498970176, '差し': 0.434024880932046, '追込': 0.5197185270946499}",0.042,0.005,0.434,0.52,4.16,0.47,43.4,51.97,55.0,0.867,0.787,0.719,5.6,0.791,0.0329,10,"['12-12', '8-9-7-7', '8-6-6', '13-12-10-11', '11-10', '8-8-7', '10-1-1', '12-11', '12-12-11', '5-4']",59.63,72.38,88.43,63.09,81.18,91.75,71.71,60.66,77.96,76.56,0.088,0.14,0.918,0.727,100.0,72.7,60.76,40.562,32.4,0.0,91.79,8.75,40.39,84.81,71.46,52.51,65.0,差し,0.04118391614466708,0.004614041080686946,0.4342335941878284,0.5199684485868176
ヴァルキリーバース,3,6,55.5,-1.0,81.57,86.74,0.0,0.4,25.51,58.06,60.0,90.24,差し,差し,"{'逃げ': 0.003981298915991496, '先行': 0.25512296364937476, '差し': 0.5805600506937544, '追込': 0.16033568674087936}",0.004,0.255,0.581,0.16,0.4,25.51,58.06,16.03,27.14,0.557,0.446,0.43,4.3,0.478,0.017,5,"['5-5-4', '10-9-9', '8-2-2', '6-6-6-5', '7-10']",65.82,76.41,81.0,63.03,88.57,95.13,72.91,53.54,77.48,77.21,0.443,0.554,0.747,0.705,100.0,70.47,51.54,49.275,33.6,0.0,74.74,44.29,62.19,84.38,70.39,63.24,65.0,差し,0.003950565863202232,0.25315357936674876,0.5821273268474313,0.16076852792261778
セキトバイースト,4,7,56.0,0.0,98.91,71.03,0.0,13.86,73.25,10.65,50.0,58.78,先行,先行,"{'逃げ': 0.13855547911911587, '先行': 0.7325396051606482, '差し': 0.10646908521738294, '追込': 0.022435830502852992}",0.139,0.733,0.106,0.022,13.86,73.25,10.65,2.24,23.66,0.276,0.211,0.191,-4.18,0.226,0.0127,10,"['3-3', '3-2-2-2', '4-4-3-3', '3-3-3', '6-2-3', '3-2', '13-10-6-7', '4-3-3-3', '2-2-2-2', '1-1-1-1']",66.3,60.51,59.14,87.0,49.45,65.09,69.75,46.65,63.48,62.74,0.755,0.814,0.061,0.703,100.0,70.28,30.74,49.06,33.8,0.0,6.12,75.47,76.38,59.9,68.56,66.66,65.0,先行,0.13836819754027183,0.7315494517961441,0.10744158824894562,0.02264076241463849
ニシノティアモ,4,8,56.0,0.0,100.0,72.81,0.0,31.12,32.04,23.1,55.4,73.12,自在,自在,"{'逃げ': 0.3112217298945739, '先行': 0.3203934650282887, '差し': 0.23103196422234065, '追込': 0.1373528408547967}",0.311,0.32,0.231,0.137,31.12,32.04,23.1,13.74,100.0,0.301,0.305,0.311,1.8,0.306,0.0437,10,"['2-2', '10-12-10-9', '2-2-2-2', '9-9-10', '4-3-5-5', '4-2-2', '2-2-2', '2-3-3', '6-5-5', '3-3-5-4']",69.87,73.91,83.21,79.49,80.05,87.5,81.2,52.86,79.24,77.91,0.682,0.663,0.519,0.803,100.0,80.27,46.31,52.3,33.1,0.0,51.88,68.16,72.58,83.67,77.9,68.36,65.0,差し,0.3100225501292358,0.31915894531676775,0.2325582551081657,0.1382602494458309
テリオスララ,5,9,54.0,-4.0,100.0,63.88,0.0,43.51,53.59,2.9,50.0,42.74,先行,先行,"{'逃げ': 0.4351287331869856, '先行': 0.5359101351884034, '差し': 0.02896113162461104, '追込': 0.0}",0.435,0.536,0.029,0.0,43.51,53.59,2.9,0.0,21.02,0.205,0.219,0.221,-3.11,0.215,0.0131,9,"['1-1', '1-1-1', '5-5-7', '4-4-3-3', '5-7-7-8', '5-5', '1-1', '1-1-1-1', '3-3-2-2']",58.21,57.71,69.71,69.8,46.96,60.38,73.61,55.38,62.74,61.48,0.804,0.785,0.0,0.726,100.0,72.65,30.73,53.403,33.2,0.0,0.0,80.4,75.88,60.48,64.98,63.46,65.0,先行,0.4349964542965098,0.5357472188083283,0.029256326895161788,0.0
ホールネス,5,10,55.0,-2.0,82.9,88.52,0.0,0.0,53.83,39.41,50.0,37.69,先行,先行,"{'逃げ': 0.0, '先行': 0.538267823954882, '差し': 0.394115380551884, '追込': 0.06761679549323397}",0.0,0.538,0.394,0.068,0.0,53.83,39.41,6.76,18.96,0.402,0.416,0.428,0.47,0.415,0.0083,10,"['5-5', '7-7-8-6', '5-5-6-7', '5-5-5-5', '6-6-6-6', '8-9-9-10', '4-5-4-4', '8-8-9-9', '8-8-7-7', '9-10-9-9']",64.68,52.72,60.21,85.9,49.04,50.99,59.87,33.93,59.07,57.48,0.628,0.628,0.209,0.598,100.0,59.8,29.21,49.895,34.4,0.0,20.88,62.85,61.47,61.9,59.29,54.34,65.0,先行,0.0,0.5356707913335564,0.396332099578542,0.06799710908790163
