horse_name,frame,horse_number,carried_weight,weight_penalty,early_speed,stamina,acceleration,front_runner,stalker,closer,mud_aptitude,mud_source,base_ability_score,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,consistency,running_style,primary_running_style,base_style_profile,base_逃げ,base_先行,base_差し,base_追込,front_runner_score,stalker_score,closer_score,deep_closer_score,versatile_score,weighted_avg_first_ratio,weighted_avg_mid_ratio,weighted_avg_last_corner_ratio,avg_first_ratio,avg_mid_ratio,avg_last_corner_ratio,weighted_avg_late_gain,weighted_avg_position_ratio,position_variance,style_sample_size,debug_passing_orders,debug_field_sizes,debug_first_ratios,debug_mid_ratios,debug_last_corner_ratios,field_size_warnings,avg_opponent_strength_score,avg_race_score,popularity_score,race_level_score,finish_score,margin_score,time_score,last3f_score,horse_ability_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,actual_running_style,actual_running_style_fixed,adjusted_style_profile,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込
ドントゥザムーン,1,1,58.0,4.0,96.19,29.74,42.1,50.66,35.33,13.91,39.98,race_history,49.97,59.33,49.97,1500.0,50.0,51.31,50.89,木幡巧,50.0,50.0,50.0,24.65,逃げ,逃げ,"{'逃げ': 0.5066089191686828, '先行': 0.353312491001133, '差し': 0.13909452235127145, '追込': 0.000984067478912819}",0.507,0.353,0.139,0.001,50.66,35.33,13.91,0.1,41.21,0.195,0.206,0.206,0.195,0.206,0.206,-3.87,0.202,0.0222,10,"['2-3', '3-3', '1-1', '9-9', '3-3', '2-2', '1-1', '2-2', '2-2', '7-7']","[16, 16, 12, 16, 16, 16, 16, 16, 11, 16]","[0.125, 0.1875, 0.0833, 0.5625, 0.1875, 0.125, 0.0625, 0.125, 0.1818, 0.4375]","[0.1875, 0.1875, 0.0833, 0.5625, 0.1875, 0.125, 0.0625, 0.125, 0.1818, 0.4375]","[0.1875, 0.1875, 0.0833, 0.5625, 0.1875, 0.125, 0.0625, 0.125, 0.1818, 0.4375]",[],49.21,52.78,73.93,55.0,46.12,53.04,76.29,44.36,49.98,50.68,0.783,0.768,0.0,0.76,100.0,75.99,38.08,36.932,36.1,66.49,0.0,78.33,76.42,59.41,62.04,54.65,88.27,逃げ,逃げ,"{'逃げ': 0.5147906763448921, '先行': 0.35208111171554707, '差し': 0.13230125031862008, '追込': 0.000826961620940805}",0.5147906763448921,0.35208111171554707,0.13230125031862008,0.000826961620940805
ポッドドンナー,1,2,58.0,4.0,67.61,42.92,83.98,0.0,28.29,52.71,52.24,race_history,51.93,59.84,51.93,1500.0,50.0,49.21,53.87,丸山,50.0,50.0,50.0,34.53,差し,差し,"{'逃げ': 0.0, '先行': 0.28290495480893646, '差し': 0.52705383942582, '追込': 0.19004120576524366}",0.0,0.283,0.527,0.19,0.0,28.29,52.71,19.0,74.75,0.592,0.528,0.528,0.592,0.528,0.528,1.93,0.549,0.0467,10,"['15-15', '6-4', '8-6', '7-7', '8-8', '11-8', '7-7', '9-8', '5-4', '8-7']","[16, 16, 16, 13, 18, 16, 11, 12, 16, 16]","[0.9375, 0.375, 0.5, 0.5385, 0.4444, 0.6875, 0.6364, 0.75, 0.3125, 0.5]","[0.9375, 0.25, 0.375, 0.5385, 0.4444, 0.5, 0.6364, 0.6667, 0.25, 0.4375]","[0.9375, 0.25, 0.375, 0.5385, 0.4444, 0.5, 0.6364, 0.6667, 0.25, 0.4375]",[],50.13,57.06,69.36,55.0,50.79,56.74,78.22,57.32,51.38,52.8,0.42,0.473,0.199,0.78,100.0,77.97,46.75,35.752,34.0,76.39,19.94,42.04,61.13,78.56,64.59,50.35,91.74,差し,差し,"{'逃げ': 0.0, '先行': 0.2989808696361919, '差し': 0.5316526883948756, '追込': 0.16936644196893247}",0.0,0.2989808696361919,0.5316526883948756,0.16936644196893247
ワーズワース,2,3,58.0,4.0,75.09,51.14,34.54,4.09,52.47,40.67,48.29,race_history,47.16,63.62,47.16,1500.0,50.0,47.98,48.56,浜中,50.0,50.0,50.0,4.76,先行,先行,"{'逃げ': 0.040910770203379195, '先行': 0.524656431620994, '差し': 0.4066949008157085, '追込': 0.02773789735991822}",0.041,0.525,0.407,0.028,4.09,52.47,40.67,2.77,34.53,0.381,0.398,0.409,0.381,0.398,0.409,-1.93,0.396,0.017,10,"['4-4-5-4', '3-3-4-3', '6-8-4-6', '8-8-10-7', '9-9', '2-2-2-2', '8-8', '4-4', '8-8', '3-2']","[11, 11, 16, 16, 15, 12, 16, 16, 16, 16]","[0.3636, 0.2727, 0.375, 0.5, 0.6, 0.1667, 0.5, 0.25, 0.5, 0.1875]","[0.3636, 0.2727, 0.5, 0.5, 0.6, 0.1667, 0.5, 0.25, 0.5, 0.125]","[0.4545, 0.3636, 0.25, 0.625, 0.6, 0.1667, 0.5, 0.25, 0.5, 0.125]",[],55.79,43.55,62.71,70.0,42.88,47.14,48.35,19.62,47.97,46.87,0.595,0.57,0.24,0.489,100.0,48.87,37.96,38.835,36.7,75.67,24.03,59.52,53.35,51.01,47.5,43.68,91.48,先行,先行,"{'逃げ': 0.04265749203580963, '先行': 0.536486203342511, '差し': 0.39693781051671484, '追込': 0.023918494104964504}",0.04265749203580963,0.536486203342511,0.39693781051671484,0.023918494104964504
シホノペルフェット,2,4,58.0,4.0,71.27,36.52,48.45,28.69,19.09,31.31,51.32,race_history,40.3,59.73,40.3,1500.0,50.0,52.26,44.46,ゴンサルベ,50.0,50.0,50.0,21.22,自在,自在,"{'逃げ': 0.28691838649687657, '先行': 0.19085035234681486, '差し': 0.31308441412947485, '追込': 0.20914684702683378}",0.287,0.191,0.313,0.209,28.69,19.09,31.31,20.91,100.0,0.455,0.518,0.519,0.455,0.518,0.519,-2.56,0.497,0.1156,10,"['11-14', '2-3', '1-1-1-1', '15-16', '7-8', '3-2', '7-9', '2-2-2-2', '14-15', '13-13-14-15']","[16, 16, 14, 16, 12, 10, 16, 12, 16, 15]","[0.6875, 0.125, 0.0714, 0.9375, 0.5833, 0.3, 0.4375, 0.1667, 0.875, 0.8667]","[0.875, 0.1875, 0.0714, 1.0, 0.6667, 0.2, 0.5625, 0.1667, 0.9375, 0.8667]","[0.875, 0.1875, 0.0714, 1.0, 0.6667, 0.2, 0.5625, 0.1667, 0.9375, 0.9333]",[],47.11,43.03,53.07,55.0,29.61,35.51,65.93,45.78,43.09,43.07,0.534,0.45,0.134,0.643,100.0,64.27,40.14,36.823,34.3,43.96,13.39,53.42,53.66,60.01,50.81,42.98,80.39,逃げ,逃げ,"{'逃げ': 0.30519828126434484, '先行': 0.19908684482285022, '差し': 0.31173188949700087, '追込': 0.1839829844158041}",0.30519828126434484,0.19908684482285022,0.31173188949700087,0.1839829844158041
モンシェリ,3,5,56.0,0.0,84.27,26.65,60.5,20.25,56.3,13.98,50.3,race_history,48.36,56.24,48.36,1500.0,50.0,49.66,50.99,松岡,50.0,50.0,50.0,13.3,先行,先行,"{'逃げ': 0.20252736400228555, '先行': 0.5629742793516033, '差し': 0.13981003872880973, '追込': 0.09468831791730137}",0.203,0.563,0.14,0.095,20.25,56.3,13.98,9.47,100.0,0.336,0.35,0.35,0.336,0.35,0.35,-1.24,0.345,0.0466,10,"['5-5', '4-5', '2-2', '9-9', '3-3', '2-2', '2-2', '4-4', '13-12', '4-4']","[16, 10, 12, 12, 16, 14, 15, 16, 15, 13]","[0.3125, 0.4, 0.1667, 0.75, 0.1875, 0.1429, 0.1333, 0.25, 0.8667, 0.3077]","[0.3125, 0.5, 0.1667, 0.75, 0.1875, 0.1429, 0.1333, 0.25, 0.8, 0.3077]","[0.3125, 0.5, 0.1667, 0.75, 0.1875, 0.1429, 0.1333, 0.25, 0.8, 0.3077]",[],46.38,56.53,68.71,51.7,56.73,56.82,83.34,50.74,48.83,50.75,0.639,0.617,0.223,0.842,100.0,84.17,45.45,36.323,34.7,72.89,22.26,63.92,71.79,72.6,67.55,53.17,90.51,先行,先行,"{'逃げ': 0.2101346191133679, '先行': 0.5728334164150832, '差し': 0.13578391708657167, '追込': 0.08124804738497722}",0.2101346191133679,0.5728334164150832,0.13578391708657167,0.08124804738497722
アクアマリーナ,3,6,56.0,0.0,100.0,34.63,44.59,75.38,22.28,2.33,48.19,race_history,55.55,60.6,55.55,1500.0,50.0,50.86,59.21,原,50.0,50.0,50.0,38.33,逃げ,逃げ,"{'逃げ': 0.7537708224101568, '先行': 0.22277516572582393, '差し': 0.023302502921445766, '追込': 0.0001515089425734754}",0.754,0.223,0.023,0.0,75.38,22.28,2.33,0.02,20.66,0.092,0.128,0.128,0.092,0.128,0.128,-3.77,0.116,0.0108,8,"['1-1', '1-1', '1-1', '1-1', '2-3', '3-3', '3-9', '1-1']","[16, 16, 16, 16, 16, 16, 16, 15]","[0.0625, 0.0625, 0.0625, 0.0625, 0.125, 0.1875, 0.1875, 0.0667]","[0.0625, 0.0625, 0.0625, 0.0625, 0.1875, 0.1875, 0.5625, 0.0667]","[0.0625, 0.0625, 0.0625, 0.0625, 0.1875, 0.1875, 0.5625, 0.0667]",[],52.93,61.14,70.86,53.1,63.21,70.78,78.47,45.18,53.96,55.75,0.928,0.919,0.0,0.778,100.0,77.77,40.29,36.843,36.4,87.76,0.0,92.81,85.53,66.83,67.28,63.52,95.72,逃げ,逃げ,"{'逃げ': 0.7581844328519635, '先行': 0.2197496592481042, '差し': 0.021939877172836773, '追込': 0.00012603072709563154}",0.7581844328519635,0.2197496592481042,0.021939877172836773,0.00012603072709563154
フォースミラクル,4,7,58.0,4.0,74.98,42.83,86.56,0.36,33.54,48.94,76.76,race_history,59.31,59.33,59.31,1500.0,50.0,51.35,61.3,ルメール,50.0,50.0,50.0,61.57,差し,差し,"{'逃げ': 0.0035729293155792596, '先行': 0.3354444910686225, '差し': 0.4894300424525836, '追込': 0.17155253716321467}",0.004,0.335,0.489,0.172,0.36,33.54,48.94,17.16,58.29,0.541,0.494,0.494,0.541,0.494,0.494,3.18,0.51,0.0359,10,"['7-5', '8-7', '14-14', '10-10', '7-6', '5-4', '7-7', '9-9', '9-9', '3-2']","[16, 15, 16, 16, 16, 16, 16, 15, 14, 15]","[0.4375, 0.5333, 0.875, 0.625, 0.4375, 0.3125, 0.4375, 0.6, 0.6429, 0.2]","[0.3125, 0.4667, 0.875, 0.625, 0.375, 0.25, 0.4375, 0.6, 0.6429, 0.1333]","[0.3125, 0.4667, 0.875, 0.625, 0.375, 0.25, 0.4375, 0.6, 0.6429, 0.1333]",[],53.13,67.89,78.14,50.0,72.13,81.66,82.72,54.01,56.63,59.45,0.421,0.476,0.595,0.823,100.0,82.25,57.15,36.13,35.1,84.34,59.46,42.06,63.21,84.61,71.49,53.85,94.52,差し,差し,"{'逃げ': 0.003831409932265494, '先行': 0.3527611537100284, '差し': 0.49127074203595467, '追込': 0.1521366943217514}",0.003831409932265494,0.3527611537100284,0.49127074203595467,0.1521366943217514
タカスタカスタカス,4,8,55.0,-2.0,100.0,43.86,69.03,47.87,51.33,0.8,83.16,race_history,64.53,58.93,64.53,1500.0,50.0,51.76,65.64,戸崎圭,50.0,50.0,50.0,76.22,自在,自在,"{'逃げ': 0.4787135081982209, '先行': 0.5132864918017791, '差し': 0.008, '追込': 0.0}",0.479,0.513,0.008,0.0,47.87,51.33,0.8,0.0,55.0,0.17,0.156,0.156,0.17,0.156,0.156,-0.02,0.161,0.0031,5,"['4-4', '2-2', '3-2', '2-2', '1-1']","[16, 16, 14, 16, 10]","[0.25, 0.125, 0.2143, 0.125, 0.1]","[0.25, 0.125, 0.1429, 0.125, 0.1]","[0.25, 0.125, 0.1429, 0.125, 0.1]",[],54.51,74.15,88.0,48.86,83.59,91.95,91.56,51.94,60.36,63.8,0.83,0.844,0.04,0.9,100.0,90.01,42.6,36.322,35.2,81.62,4.02,82.96,86.92,89.81,78.07,66.61,93.57,先行,先行,"{'逃げ': 0.4837591143043786, '先行': 0.5086736102037664, '差し': 0.007567275491855047, '追込': 0.0}",0.4837591143043786,0.5086736102037664,0.007567275491855047,0.0
マジッククッキー,5,9,55.0,-2.0,69.57,59.92,100.0,0.0,0.9,60.67,86.25,race_history,69.0,61.16,69.0,1500.0,50.0,51.16,63.2,大野,50.0,50.0,50.0,81.3,差し,差し,"{'逃げ': 0.0, '先行': 0.00899476140407792, '差し': 0.6067080712782142, '追込': 0.38429716731770786}",0.0,0.009,0.607,0.384,0.0,0.9,60.67,38.43,38.33,0.727,0.69,0.69,0.727,0.69,0.69,6.51,0.703,0.024,10,"['11-12', '16-14', '8-6', '8-7', '8-9', '14-14', '8-8', '8-7', '16-16', '8-10']","[16, 16, 12, 12, 14, 16, 15, 16, 16, 12]","[0.6875, 1.0, 0.6667, 0.6667, 0.5714, 0.875, 0.5333, 0.5, 1.0, 0.6667]","[0.75, 0.875, 0.5, 0.5833, 0.6429, 0.875, 0.5333, 0.4375, 1.0, 0.8333]","[0.75, 0.875, 0.5, 0.5833, 0.6429, 0.875, 0.5333, 0.4375, 1.0, 0.8333]",[],57.74,74.94,90.0,59.56,79.64,87.21,89.3,65.99,63.54,66.39,0.267,0.317,0.851,0.887,100.0,88.74,66.63,35.123,34.2,85.52,85.12,26.74,57.37,89.92,78.51,56.34,94.93,差し,差し,"{'逃げ': 0.0, '先行': 0.009860906409300514, '差し': 0.6348588055848248, '追込': 0.3552802880058747}",0.0,0.009860906409300514,0.6348588055848248,0.3552802880058747
ライトオブヌカタ,5,10,55.0,-2.0,81.53,44.64,64.84,21.96,38.52,29.8,65.75,race_history,48.65,57.85,48.65,1500.0,50.0,51.73,57.43,石川,50.0,50.0,50.0,44.28,自在,自在,"{'逃げ': 0.21959340680476216, '先行': 0.3851768968992656, '差し': 0.2980265390991471, '追込': 0.09720315719682514}",0.22,0.385,0.298,0.097,21.96,38.52,29.8,9.72,100.0,0.408,0.437,0.437,0.408,0.437,0.437,-0.47,0.427,0.0771,6,"['2-2', '11-11', '4-5', '2-2-2-2', '3-3', '4-5']","[16, 12, 10, 10, 8, 10]","[0.125, 0.9167, 0.4, 0.2, 0.375, 0.4]","[0.125, 0.9167, 0.5, 0.2, 0.375, 0.5]","[0.125, 0.9167, 0.5, 0.2, 0.375, 0.5]",[],51.66,57.19,56.71,57.89,56.83,68.84,73.26,45.65,49.04,51.08,0.591,0.571,0.361,0.723,100.0,72.26,49.11,36.845,35.8,82.39,36.07,59.12,63.94,72.06,64.75,53.91,93.84,逃げ,逃げ,"{'逃げ': 0.2295370045366133, '先行': 0.39483854011130404, '差し': 0.29159792741738016, '追込': 0.08402652793470246}",0.2295370045366133,0.39483854011130404,0.29159792741738016,0.08402652793470246
