rank,horse_name,horse_number,frame,running_style,finish_time,lane_index
1,クロワデュノール,5,3,先行,100.40702324489091,4
2,ジューンテイク,10,5,先行,100.40702324489091,9
3,レガレイラ,17,8,先行,100.89534458878065,16
4,ファミリータイム,7,4,先行,101.90429803466849,6
5,マイユニバース,15,7,逃げ,103.65865101331876,14
6,メイショウタバル,16,8,差し,104.31322957753356,15
7,ビザンチンドリーム,6,3,逃げ,104.69523752345192,5
8,ミクニインスパイア,4,2,逃げ,104.69523752345192,3
9,タガノデュード,8,4,先行,105.32671545018758,7
10,シンエンペラー,11,6,先行,105.32671545018758,10
11,ダノンデサイル,1,1,先行,105.32671545018758,0
12,スティンガーグラス,14,7,自在,107.17705915265773,13
13,マイネルエンペラー,12,6,差し,107.72760087081139,11
14,ミュージアムマイル,2,1,差し,107.72760087081139,1
15,シェイクユアハート,13,7,差し,107.98786784774587,12
16,コスモキュランダ,9,5,自在,108.2488297441843,8
17,ミステリーウェイ,18,8,追込,108.68699335818366,17
18,シュガークン,3,2,差し,109.06774652622337,2
