rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,avg_race_score,race_power
1,クロワデュノール,5,3,先行,先行,先行,118.11984325498756,4,0.042437996260794524,0.7076258460635972,0.21488791403973811,0.035048243635870044,100.0,100.0,100.0,91.75777319446252,77.2,84.15434061189617,84.15434061189617
2,メイショウタバル,16,8,逃げ,逃げ,逃げ,122.75487985711152,15,0.8524364410747798,0.1400717156695648,0.0074918432556554055,0.0,100.0,82.04855700002818,66.92518436053832,44.855939361812595,87.4,74.55692126648543,74.55692126648543
3,ミクニインスパイア,4,2,先行,先行,先行,125.43252454413187,3,0.1580249746645876,0.49412129230073565,0.3117913048963267,0.0360624281383501,87.42396194238249,92.28332564903178,89.59977448779743,28.470351460103693,37.3,62.7691758185278,62.7691758185278
4,マイネルエンペラー,12,6,先行,逃げ,逃げ,125.51152293568857,11,0.184898934323104,0.566908630183999,0.16872444700108472,0.07946798849181239,86.55359505315434,100.0,70.96688839855018,59.64380107376771,8.4,52.085558871618105,52.085558871618105
5,ダノンデサイル,1,1,自在,差し,差し,126.00757842922738,0,0.08732467773039533,0.24993113588399385,0.4775298687102236,0.18521431767538718,95.31255982976374,100.0,100.0,94.62983911331628,67.0,79.17518753704475,79.17518753704475
6,ファミリータイム,7,4,先行,先行,先行,126.09522150280173,6,0.2438709581568666,0.4708209735937153,0.27897423366125496,0.006333834588163226,93.90919173150759,94.22953092403182,86.91745110212332,56.11362747472,38.8,60.5918266292599,60.5918266292599
7,ミュージアムマイル,2,1,自在,先行,先行,126.533545223604,1,0.003950564991868997,0.26678673122684576,0.35867602068686044,0.3705866830944248,83.99243385230537,100.0,100.0,57.3419164738532,16.2,73.19511375103383,73.19511375103383
8,コスモキュランダ,9,5,自在,先行,先行,128.13542706435905,8,0.3556189265477171,0.5230883330475016,0.06928891448453488,0.052003825920246355,100.0,89.49967076034707,70.3867901440749,53.755930491101346,60.0,64.21893309523782,64.21893309523782
9,レガレイラ,17,8,自在,先行,先行,128.58631566415212,16,0.0,0.15196487247628446,0.4830971223692077,0.3649380051545078,76.56265066120493,100.0,100.0,53.80823790421795,16.6,68.50745067532274,68.50745067532274
10,スティンガーグラス,14,7,自在,差し,差し,129.94540689748064,13,0.031675230232554016,0.2542213640297151,0.45200302299130246,0.26210038274642844,71.09384723003251,100.0,100.0,23.43492754739568,32.6,61.120640949678894,61.120640949678894
11,ジューンテイク,10,5,自在,差し,差し,135.86826201920317,9,0.14131298672521891,0.4509965522580891,0.24124159189419814,0.1664488691224938,87.02284148625408,84.65421695793222,89.66195933643323,50.52723087353769,12.0,67.1142313262559,67.1142313262559
12,シンエンペラー,11,6,自在,差し,差し,136.24364887570266,10,0.09533751274166748,0.35796443434596786,0.39961226446529025,0.14708578844707446,84.61218981782541,100.0,95.11834158830756,44.30823262534111,0.0,54.859774405027046,54.859774405027046
13,マイユニバース,15,7,自在,差し,差し,136.57853580234456,14,0.1306415028944084,0.3586294168250765,0.31767792506575193,0.19305115521476318,87.28901319317484,100.0,98.9562006741084,35.95474293258408,0.0,70.5583071593038,70.5583071593038
14,シュガークン,3,2,先行,先行,先行,136.65643258487904,2,0.40702478746824267,0.5140654477958928,0.06465800720017598,0.014251757535688544,98.08431387975833,79.40582623146351,58.90761981561149,3.4662183997581644,17.4,52.46668324902027,52.46668324902027
15,ミステリーウェイ,18,8,逃げ,先行,先行,136.66559585099745,17,0.5826619346477097,0.21692415090502945,0.1826622107653201,0.01775170368194076,99.08679627247747,96.41587312910393,51.14804861685118,17.158665358080473,0.0,43.76011490503264,43.76011490503264
16,タガノデュード,8,4,自在,追込,追込,136.72841778606755,7,0.0,0.08706898872695809,0.45977538958945263,0.4531556216835893,66.427805356625,100.0,100.0,73.65672537159404,45.8,71.19983072873298,71.19983072873298
17,シェイクユアハート,13,7,差し,差し,差し,138.9663181890845,12,0.0,0.18156700857020613,0.6061415361107366,0.21229145531905727,75.53117049557981,88.75338714240306,100.0,24.019255783955057,0.0,67.35724446390519,67.35724446390519
18,ビザンチンドリーム,6,3,追込,追込,追込,144.2831964343469,5,0.0,0.0,0.46901770838096235,0.5309822916190376,56.696407804237765,100.0,100.0,30.10823163471428,2.1000000000000014,58.42233882984342,58.42233882984342
