rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,avg_race_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability
1,クロワデュノール,5,3,先行,先行,先行,先行,118.11984325498756,4,0.042437996260794524,0.7076258460635972,0.21488791403973811,0.035048243635870044,100.0,100.0,100.0,91.75777319446252,77.2,84.15434061189617,84.15434061189617,0.6593790849673202,0.6827124183006535,0.4650793650793651,0.7959948083725866,100.0,79.59948083725867,66.67103293684116,34.7825,34.2,91.22767989640141,46.507936507936506,65.93790849673202,73.36894938330235,89.69854882443774,82.85471446049227,76.9088725490196,96.92968796374049
2,メイショウタバル,16,8,逃げ,逃げ,逃げ,逃げ,122.75487985711152,15,0.8524364410747798,0.1400717156695648,0.0074918432556554055,0.0,100.0,82.04855700002818,66.92518436053832,44.855939361812595,87.4,74.55692126648543,74.55692126648543,0.9108986928104575,0.9108986928104575,0.03968253968253968,0.737896410546494,100.0,73.78964105464941,47.69468073031794,35.3675,33.1,70.85803026561176,3.968253968253968,91.08986928104575,83.30476657916739,73.57207965867664,77.00617758005717,79.34633578431372,89.80031059296411
3,ミクニインスパイア,4,2,先行,先行,先行,先行,125.43252454413187,3,0.1580249746645876,0.49412129230073565,0.3117913048963267,0.0360624281383501,87.42396194238249,92.28332564903178,89.59977448779743,28.470351460103693,37.3,62.7691758185278,62.7691758185278,0.6270472582972584,0.6699044011544012,0.29056122448979593,0.6299926563657894,100.0,62.99926563657894,54.38486991775574,35.08,33.6,71.46522122041247,29.056122448979593,62.70472582972583,65.19441159995259,75.47952793417434,63.53384610011842,65.44138203463203,90.01282742714437
4,マイネルエンペラー,12,6,先行,逃げ,逃げ,逃げ,125.51152293568857,11,0.184898934323104,0.566908630183999,0.16872444700108472,0.07946798849181239,86.55359505315434,100.0,70.96688839855018,59.64380107376771,8.4,52.085558871618105,52.085558871618105,0.5617708333333333,0.5617708333333333,0.10714285714285715,0.5947744059381437,100.0,59.477440593814364,47.76304802200715,35.975,35.1,82.66674871814291,10.714285714285715,56.177083333333336,57.6622441005498,54.630633230103065,58.34509232659791,56.260625,93.93336205135002
5,ダノンデサイル,1,1,自在,差し,差し,差し,126.00757842922738,0,0.08732467773039533,0.24993113588399385,0.4775298687102236,0.18521431767538718,95.31255982976374,100.0,100.0,94.62983911331628,67.0,79.17518753704475,79.17518753704475,0.5040359477124183,0.49014705882352944,0.875,0.7568802141909886,100.0,75.68802141909886,76.88727420852057,34.9175,33.8,83.2618280568038,87.5,50.40359477124183,61.01769787388861,86.44660829990082,78.43841178050438,68.87857843137255,94.14163981988133
6,ファミリータイム,7,4,先行,先行,先行,先行,126.09522150280173,6,0.2438709581568666,0.4708209735937153,0.27897423366125496,0.006333834588163226,93.90919173150759,94.22953092403182,86.91745110212332,56.11362747472,38.8,60.5918266292599,60.5918266292599,0.722948717948718,0.722948717948718,0.18253968253968253,0.6066185846134706,100.0,60.66185846134705,52.7613039422614,35.0575,33.8,73.56075644047279,18.253968253968253,72.2948717948718,67.06001579478567,66.45456390377198,60.66389715374088,65.51583653846154,90.74626475416548
7,ミュージアムマイル,2,1,自在,先行,先行,先行,126.533545223604,1,0.003950564991868997,0.26678673122684576,0.35867602068686044,0.3705866830944248,83.99243385230537,100.0,100.0,57.3419164738532,16.2,73.19511375103383,73.19511375103383,0.4250744047619048,0.4250744047619048,0.719047619047619,0.6945423482393537,100.0,69.45423482393537,72.10474501706965,34.505,32.3,67.89377630427394,71.9047619047619,42.507440476190474,54.63349793267568,79.71320349427495,72.36357915316445,65.10098214285713,88.76282170649588
8,コスモキュランダ,9,5,自在,先行,先行,先行,128.13542706435905,8,0.3556189265477171,0.5230883330475016,0.06928891448453488,0.052003825920246355,100.0,89.49967076034707,70.3867901440749,53.755930491101346,60.0,64.21893309523782,64.21893309523782,0.8179178338001868,0.8097035480859011,0.0,0.7021316992548906,100.0,70.21316992548907,45.19715014592025,35.6075,33.3,72.35933430613505,0.0,81.79178338001867,76.12962161119464,63.60697834612701,69.59474345901899,70.84253501400559,90.32576700714726
9,レガレイラ,17,8,自在,先行,先行,先行,128.58631566415212,16,0.0,0.15196487247628446,0.4830971223692077,0.3649380051545078,76.56265066120493,100.0,100.0,53.80823790421795,16.6,68.50745067532274,68.50745067532274,0.33998625965537727,0.3135973707664884,0.719047619047619,0.6708350996092768,100.0,67.08350996092767,69.59925989753468,35.1,34.0,72.61054217404077,71.9047619047619,33.99862596553773,47.43543487457432,76.35798510985947,69.42843047851022,59.13208778966131,90.41368976091427
10,スティンガーグラス,14,7,自在,差し,差し,差し,129.94540689748064,13,0.031675230232554016,0.2542213640297151,0.45200302299130246,0.26210038274642844,71.09384723003251,100.0,100.0,23.43492754739568,32.6,61.120640949678894,61.120640949678894,0.35500000000000004,0.4063888888888889,0.5765873015873015,0.5632114728739294,100.0,56.32114728739293,65.63288384296135,35.1675,34.2,83.5534319689487,57.65873015873016,35.5,47.69590516821572,72.83844457386476,60.68263100806612,59.12016666666666,94.24370118913204
