rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability
1,クロワデュノール,5,3,先行,先行,先行,先行,118.04046258249879,4,0.042437996260794524,0.7076258460635972,0.21488791403973811,0.035048243635870044,100.0,100.0,100.0,94.155503483302,77.2,83.3604609010405,88.33638334501138,90.0,95.0,89.5406162464986,94.18571428571428,79.12974381425941,87.09240273401866,0.6593790849673202,0.6827124183006535,0.4650793650793651,0.7959948083725866,100.0,79.59948083725867,66.67103293684116,34.7825,34.2,91.22767989640141,46.507936507936506,65.93790849673202,73.36894938330235,89.69854882443774,82.85471446049227,76.9088725490196,96.92968796374049
2,メイショウタバル,16,8,逃げ,逃げ,逃げ,逃げ,122.08058562216453,15,0.8524364410747798,0.1400717156695648,0.0074918432556554055,0.0,100.0,84.24069457359413,68.62257616785419,46.015183363347795,87.4,74.87908571446002,79.13327316602019,78.78571428571429,95.0,71.51764038948913,83.49285714285715,73.93959373836648,78.06972630313015,0.9108986928104575,0.9108986928104575,0.03968253968253968,0.737896410546494,100.0,73.78964105464941,47.69468073031794,35.3675,33.1,70.85803026561176,3.968253968253968,91.08986928104575,83.30476657916739,73.57207965867664,77.00617758005717,79.34633578431372,89.80031059296411
3,ミクニインスパイア,4,2,先行,先行,先行,先行,124.43412171801604,3,0.1580249746645876,0.49412129230073565,0.3117913048963267,0.0360624281383501,90.10137457157032,95.11254967897732,90.67421921034595,27.99718660491716,37.3,62.61632377472603,73.17453279411347,81.28571428571429,75.04285714285713,74.14285714285714,69.24285714285715,62.1696136554204,70.53498053926661,0.6270472582972584,0.6699044011544012,0.29056122448979593,0.6299926563657894,100.0,62.99926563657894,54.38486991775574,35.08,33.6,71.46522122041247,29.056122448979593,62.70472582972583,65.19441159995259,75.47952793417434,63.53384610011842,65.44138203463203,90.01282742714437
4,マイネルエンペラー,12,6,先行,逃げ,逃げ,逃げ,125.28025255002363,11,0.184898934323104,0.566908630183999,0.16872444700108472,0.07946798849181239,87.47213576503043,100.0,71.69844870577211,60.1302977019096,8.4,54.413534901587816,59.12852221565327,52.357142857142854,91.89999999999999,49.2281746031746,42.48571428571428,59.26458723589782,57.9497753871369,0.5617708333333333,0.5617708333333333,0.10714285714285715,0.5947744059381437,100.0,59.477440593814364,47.76304802200715,35.975,35.1,82.66674871814291,10.714285714285715,56.177083333333336,57.6622441005498,54.630633230103065,58.34509232659791,56.260625,93.93336205135002
5,ファミリータイム,7,4,先行,先行,先行,先行,125.55039833012395,6,0.2438709581568666,0.4708209735937153,0.27897423366125496,0.006333834588163226,94.90881558107833,96.13023925947303,86.83328765810907,57.239334110462416,38.8,59.28839134567217,63.95779088766489,58.07142857142857,86.08571428571429,58.28815628815629,53.82142857142857,60.33088201462198,62.790441002166716,0.722948717948718,0.722948717948718,0.18253968253968253,0.6066185846134706,100.0,60.66185846134705,52.7613039422614,35.0575,33.8,73.56075644047279,18.253968253968253,72.2948717948718,67.06001579478567,66.45456390377198,60.66389715374088,65.51583653846154,90.74626475416548
6,ダノンデサイル,1,1,自在,差し,差し,差し,125.7186108459476,0,0.08732467773039533,0.24993113588399385,0.4775298687102236,0.18521431767538718,98.58814196114045,100.0,100.0,97.14452903198772,67.0,78.78637843991639,84.05178675670814,85.57142857142857,94.2,83.22292250233427,85.45714285714287,75.57487970526999,82.7354346775102,0.5040359477124183,0.49014705882352944,0.875,0.7568802141909886,100.0,75.68802141909886,76.88727420852057,34.9175,33.8,83.2618280568038,87.5,50.40359477124183,61.01769787388861,86.44660829990082,78.43841178050438,68.87857843137255,94.14163981988133
7,ミュージアムマイル,2,1,自在,先行,先行,先行,126.27037739562932,1,0.003950564991868997,0.26678673122684576,0.35867602068686044,0.3705866830944248,86.83025440300098,100.0,100.0,57.141731820970506,16.2,73.21173684545116,79.91580031180749,82.71428571428571,93.89999999999999,76.22023809523809,74.38571428571429,68.88466978474145,78.2397844452184,0.4250744047619048,0.4250744047619048,0.719047619047619,0.6945423482393537,100.0,69.45423482393537,72.10474501706965,34.505,32.3,67.89377630427394,71.9047619047619,42.507440476190474,54.63349793267568,79.71320349427495,72.36357915316445,65.10098214285713,88.76282170649588
8,コスモキュランダ,9,5,自在,先行,先行,先行,127.61547984131698,8,0.3556189265477171,0.5230883330475016,0.06928891448453488,0.052003825920246355,100.0,91.23698751221121,70.30196643994658,57.07765611159052,60.0,66.25218356338198,68.22516224240168,58.92857142857143,93.3,61.702214219020945,64.54285714285713,70.03719398597482,67.73191757264675,0.8179178338001868,0.8097035480859011,0.0,0.7021316992548906,100.0,70.21316992548907,45.19715014592025,35.6075,33.3,72.35933430613505,0.0,81.79178338001867,76.12962161119464,63.60697834612701,69.59474345901899,70.84253501400559,90.32576700714726
9,レガレイラ,17,8,自在,先行,先行,先行,128.1378287141063,16,0.0,0.15196487247628446,0.4830971223692077,0.3649380051545078,79.8233042111541,100.0,100.0,58.18050762936235,16.6,69.80032233323685,78.48369422251413,86.0,93.89999999999999,72.74393090569562,69.12857142857143,66.91336612803575,76.31285125019481,0.33998625965537727,0.3135973707664884,0.719047619047619,0.6708350996092768,100.0,67.08350996092767,69.59925989753468,35.1,34.0,72.61054217404077,71.9047619047619,33.99862596553773,47.43543487457432,76.35798510985947,69.42843047851022,59.13208778966131,90.41368976091427
10,スティンガーグラス,14,7,自在,差し,差し,差し,129.71547250198591,13,0.031675230232554016,0.2542213640297151,0.45200302299130246,0.26210038274642844,73.23293666669478,100.0,100.0,22.98832282425954,32.6,62.23832140109112,70.6115114054032,73.14285714285714,86.5,66.96825396825396,64.04285714285714,55.87432040323836,68.51821390432518,0.35500000000000004,0.4063888888888889,0.5765873015873015,0.5632114728739294,100.0,56.32114728739293,65.63288384296135,35.1675,34.2,83.5534319689487,57.65873015873016,35.5,47.69590516821572,72.83844457386476,60.68263100806612,59.12016666666666,94.24370118913204
