rank,horse_name,horse_number,frame,primary_running_style,actual_running_style,actual_running_style_fixed,running_style,adjusted_style_profile,finish_time,lane_index,adjusted_逃げ,adjusted_先行,adjusted_差し,adjusted_追込,early_speed,stamina,acceleration,consistency,mud_aptitude,mud_source,race_strength_score,race_strength_adjusted_score,elo_rating,normalized_elo_score,relative_agari_score,course_fit_score,jockey,jockey_score,track_bias_fit_score,pace_fit_score,avg_race_score,horse_ability_score,popularity_score,race_level_score,finish_score,margin_score,time_score,race_power,early_aggressiveness,mid_positioning,late_kick_timing,sustain_speed,time_reliability,recent_time_score,late_kick_score,avg_last3f,best_last3f,last3f_consistency,late_gain_score,early_push_score,mid_cruise_score,fade_resistance_score,sustain_speed_score,pace_resilience_score,agari_reliability,carried_weight,weight_penalty
1,エリーナストーム,6,6,自在,逃げ,逃げ,逃げ,"{'逃げ': 0.34342800920010685, '先行': 0.28731955912947776, '差し': 0.2501076469212606, '追込': 0.11914478474915481}",107.63950684075523,5,0.34342800920010685,0.28731955912947776,0.2501076469212606,0.11914478474915481,86.8303879542405,66.45423207534738,0.0,57.485774927583485,50.0,neutral,55.383809523809525,53.418067937650804,1500.0,50.0,75.0,56.9046875,三浦,50.0,50.0,82.85103015371978,61.80762089238277,52.4353734055762,79.57142857142857,50.0,66.47142857142858,77.25714285714285,71.6010073798508,54.77843527727784,0.7125,0.7166666666666667,0.225,0.7137697689457454,100.0,71.37697689457454,49.3425,51.6025,34.0,0.0,22.5,71.25,71.53630626922521,69.49670354664764,64.539837292016,61.25,65.0,56.0,0.0
2,トゥーザムーン,8,7,先行,先行,先行,先行,"{'逃げ': 0.13693652179006524, '先行': 0.48663974048682096, '差し': 0.31342926037993757, '追込': 0.06299447734317629}",108.25701314360523,7,0.13693652179006524,0.48663974048682096,0.31342926037993757,0.06299447734317629,81.6116288340693,70.59023477607737,0.0,48.982001451168834,58.317503706822286,race_history,58.76166666666666,52.146501723246395,1500.0,50.0,75.0,59.00016363636364,木幡巧,50.0,50.0,83.17458844460312,55.561794378493076,51.52938247781306,73.21428571428571,52.18571428571429,68.7702380952381,64.75714285714285,68.46146315816328,52.53748545298306,0.7252928321678321,0.707111013986014,0.2826486013986014,0.6829175164222794,100.0,68.29175164222794,44.978715034965035,55.2875,36.0,0.0,28.26486013986014,72.52928321678321,69.62239400823334,71.11324126136333,60.696213403225364,52.807034965034966,65.0,56.0,0.0
3,ディーズゴールド,4,4,先行,先行,先行,先行,"{'逃げ': 0.33105814394824057, '先行': 0.4544891208895307, '差し': 0.19174513837763252, '追込': 0.0227075967845962}",109.29190235919695,3,0.33105814394824057,0.4544891208895307,0.19174513837763252,0.0227075967845962,92.2963981548966,54.31812702565848,0.0,76.6487606935694,64.46647981062345,race_history,58.15190476190476,54.111915342289656,1500.0,50.0,75.0,60.484437500000006,坂井,50.0,50.0,69.04385465930292,57.803133748503846,52.92973968138138,78.42857142857143,54.2,76.21318681318681,64.3,74.07838158142341,54.148088198162,0.7802884615384615,0.751201923076923,0.19945054945054944,0.7370913938562978,100.0,73.70913938562978,41.293763736263735,51.3225,36.3,0.0,19.945054945054945,78.02884615384616,74.48521849276418,74.68072901193155,63.668776662096384,53.21990384615385,65.0,58.0,4.0
4,ユイノマチブセ,10,8,自在,逃げ,逃げ,逃げ,"{'逃げ': 0.4528377007815891, '先行': 0.46276683345043074, '差し': 0.08030217987007952, '追込': 0.004093285897900704}",114.06673291314556,9,0.4528377007815891,0.46276683345043074,0.08030217987007952,0.004093285897900704,82.71236383305782,44.262616264828885,0.0,37.118423694751485,39.99133333333334,race_history,57.46047619047619,33.19173106701993,1500.0,50.0,75.0,43.9465474025974,木幡初,50.0,50.0,57.5258109038876,30.95905058106369,38.0241083852517,55.785714285714285,55.0,31.10544217687075,21.607142857142858,50.653044855431816,40.0,0.8078476731601731,0.8078476731601731,0.0,0.5157204861483031,100.0,51.57204861483031,32.565,53.3275,37.3,0.0,0.0,80.78476731601731,67.63904390048317,35.61588758824675,40.769001738156675,39.204805194805196,65.0,58.0,4.0
5,レッドベルダンス,3,3,自在,追込,追込,追込,"{'逃げ': 0.007470047742673607, '先行': 0.42393295535454817, '差し': 0.39103045124053154, '追込': 0.1775665456622466}",114.40401833516425,2,0.007470047742673607,0.42393295535454817,0.39103045124053154,0.1775665456622466,75.1029678451106,52.62912179218226,0.0,56.834546917603305,75.02152380952381,race_history,57.132857142857134,50.41082520478488,1500.0,50.0,75.0,60.095046875,嶋田,50.0,50.0,85.27077065982863,61.40821274638238,50.29271295840922,62.642857142857146,48.0,66.95238095238095,80.30714285714285,74.92052801762621,53.07158790540251,0.5367708333333334,0.5042708333333333,0.4732142857142857,0.7445348187919859,100.0,74.45348187919859,51.10035714285715,50.085,35.3,0.0,47.32142857142857,53.677083333333336,61.23896267897271,80.15744297818945,66.25379003355923,51.05250000000001,65.0,58.0,4.0
6,ウインアルドーレ,2,2,先行,先行,先行,先行,"{'逃げ': 0.28288412205060887, '先行': 0.5346168352224683, '差し': 0.13477880104447906, '追込': 0.04772024168244373}",117.51441818023116,1,0.28288412205060887,0.5346168352224683,0.13477880104447906,0.04772024168244373,79.26549848459906,41.66531524892758,0.0,47.766891247086555,43.12583216783215,race_history,57.34047619047619,35.030810066869314,1500.0,50.0,75.0,47.377175,菊沢,50.0,50.0,66.37839508294019,38.44700371838633,39.33445217264438,49.357142857142854,55.0,27.791208791208792,42.221428571428575,57.03430583246889,40.0,0.7100568181818182,0.7100568181818182,0.0,0.570633595292998,100.0,57.063359529299795,35.235,50.93,36.6,0.0,0.0,71.00568181818181,64.73163678818491,44.59408306760367,49.29547274111489,44.447329545454544,65.0,58.0,4.0
7,マンダリンボレロ,1,1,差し,差し,差し,差し,"{'逃げ': 0.0030433215895214645, '先行': 0.31062039602990066, '差し': 0.5020485126814451, '追込': 0.18428776969913274}",118.12694571096515,0,0.0030433215895214645,0.31062039602990066,0.5020485126814451,0.18428776969913274,62.6601677048244,53.0996679772601,0.0,65.02596762469578,52.15807437180583,race_history,58.63809523809523,42.13420241212004,1500.0,50.0,75.0,54.14315,松岡,50.0,50.0,75.50252060178873,51.07465068438215,44.39561921863553,41.642857142857146,55.0,55.004120879120876,53.82142857142857,73.33637460628192,46.065377085072186,0.3311698717948718,0.42500000000000004,0.3651785714285714,0.7208264235562136,100.0,72.08264235562136,45.23446428571428,55.14,36.0,0.0,36.517857142857146,33.11698717948718,55.81218906002962,74.73593016280327,60.39357829559176,39.603125,65.0,58.0,4.0
8,クロドラバール,7,7,自在,先行,先行,先行,"{'逃げ': 0.47241905334257556, '先行': 0.5204990635073056, '差し': 0.007081883150118765, '追込': 0.0}",118.78090539961025,6,0.47241905334257556,0.5204990635073056,0.007081883150118765,0.0,88.97207904453741,32.61761378607587,0.0,65.78273938295705,35.19006028183616,race_history,57.58571428571428,33.887525115530465,1500.0,50.0,75.0,44.9011875,石川,50.0,50.0,50.6317384977418,37.40412726350527,38.51986164481545,41.42857142857143,55.0,38.75228937728938,25.807142857142853,64.43590646404651,40.0,0.8292467948717949,0.8084134615384615,0.0,0.6372300716453643,100.0,63.723007164536426,34.394999999999996,56.96,37.3,0.0,0.0,82.92467948717949,73.13809360865677,43.58719652625787,48.40827894049504,42.63302884615385,65.0,58.0,4.0
9,ダディーズトリップ,5,5,差し,差し,差し,差し,"{'逃げ': 0.0, '先行': 0.17613396241310403, '差し': 0.5457058399247406, '追込': 0.2781601976621553}",119.12015501636293,4,0.0,0.17613396241310403,0.5457058399247406,0.2781601976621553,55.306160919198966,60.29019818882564,0.0,53.715634856274654,32.076068804546374,race_history,57.647619047619045,40.10584230951847,1500.0,50.0,75.0,52.992686647727275,横山典,50.0,50.0,64.13802824803327,45.82700674236168,42.95041264553191,48.57142857142857,55.0,43.35037462537463,49.6,60.475333689608384,43.66956116973935,0.30753933566433567,0.32292395104895105,0.40054945054945057,0.6108108458351614,100.0,61.081084583516144,47.76123626373626,48.3425,36.4,0.0,40.05494505494505,30.753933566433567,45.247305370274574,68.71235777611251,53.383346520933884,37.22396853146853,65.0,58.0,4.0
10,キングツェッペリン,9,8,差し,差し,差し,差し,"{'逃げ': 0.014350837116871537, '先行': 0.08670014792817701, '差し': 0.6720821312864304, '追込': 0.22686688366852112}",126.1489377769236,8,0.014350837116871537,0.08670014792817701,0.6720821312864304,0.22686688366852112,62.35419143963477,49.151932624969575,0.0,40.25832692679674,33.28118347560362,race_history,59.86190476190476,44.78310221441565,1500.0,50.0,75.0,49.417390624999996,石橋脩,50.0,50.0,58.10613035721861,48.793130541934424,46.28296032777115,56.42857142857143,55.0,46.410714285714285,50.32142857142857,71.37936302713244,46.91050288131197,0.34020833333333333,0.38052083333333336,0.48928571428571427,0.7062755942385418,100.0,70.62755942385418,49.51464285714286,48.9975,35.7,0.0,48.92857142857143,34.020833333333336,52.71104757406771,68.93114802674349,57.8745326831198,38.19625,65.0,58.0,4.0
