horse_name,horse_number,section_index,distance_m,current_speed,elapsed_time,position_m,actual_running_style
ミドリノハヤテ,1,0,100,24.65065085830149,4.056688019104512,100.0,逃げ
ミドリノハヤテ,1,1,200,24.65065085830149,8.113376038209024,200.0,逃げ
ミドリノハヤテ,1,2,300,24.65065085830149,12.170064057313535,300.0,逃げ
ミドリノハヤテ,1,3,400,24.65065085830149,16.226752076418048,400.0,逃げ
ミドリノハヤテ,1,4,500,24.65065085830149,20.28344009552256,500.0,逃げ
ミドリノハヤテ,1,5,600,24.65065085830149,24.340128114627074,600.0,逃げ
ミドリノハヤテ,1,6,700,24.65065085830149,28.396816133731587,700.0,逃げ
ミドリノハヤテ,1,7,800,24.65065085830149,32.453504152836096,800.0,逃げ
ミドリノハヤテ,1,8,900,22.719493878618888,36.85501065356449,900.0,逃げ
ミドリノハヤテ,1,9,1000,21.841445806015262,41.43346213924679,1000.0,逃げ
ミドリノハヤテ,1,10,1100,21.841445806015262,46.01191362492909,1100.0,逃げ
ミドリノハヤテ,1,11,1200,21.841445806015262,50.590365110611394,1200.0,逃げ
ミドリノハヤテ,1,12,1300,21.841445806015262,55.168816596293695,1300.0,逃げ
ミドリノハヤテ,1,13,1400,20.266341541158393,60.10310628034509,1400.0,逃げ
ミドリノハヤテ,1,14,1500,20.266341541158393,65.03739596439648,1500.0,逃げ
ミドリノハヤテ,1,15,1600,19.982612759582175,70.04174655674069,1600.0,逃げ
ミドリノハヤテ,1,16,1700,21.843723510629395,74.61972063480201,1700.0,逃げ
ミドリノハヤテ,1,17,1800,21.52910197858329,79.26459621296026,1800.0,逃げ
ミドリノハヤテ,1,18,1900,19.835539217512277,84.30605230363777,1900.0,逃げ
ミドリノハヤテ,1,19,2000,19.54136808504917,89.42340128170183,2000.0,逃げ
ミドリノハヤテ,1,20,2100,19.247196952586066,94.61896301707255,2100.0,逃げ
ミドリノハヤテ,1,21,2200,18.953025820122956,99.89516540022063,2200.0,逃げ
アカツキスター,3,0,100,25.482213403935173,3.924305884062535,100.0,逃げ
アカツキスター,3,1,200,25.482213403935173,7.84861176812507,200.0,逃げ
アカツキスター,3,2,300,25.482213403935173,11.772917652187605,300.0,逃げ
アカツキスター,3,3,400,25.482213403935173,15.69722353625014,400.0,逃げ
アカツキスター,3,4,500,25.482213403935173,19.621529420312676,500.0,逃げ
アカツキスター,3,5,600,25.482213403935173,23.54583530437521,600.0,逃げ
アカツキスター,3,6,700,25.482213403935173,27.470141188437744,700.0,逃げ
アカツキスター,3,7,800,25.482213403935173,31.394447072500277,800.0,逃げ
アカツキスター,3,8,900,23.485910971368817,35.65231895670813,900.0,逃げ
アカツキスター,3,9,1000,22.578242914504322,40.08136156992936,1000.0,逃げ
アカツキスター,3,10,1100,22.578242914504322,44.5104041831506,1100.0,逃げ
アカツキスター,3,11,1200,22.578242914504322,48.93944679637183,1200.0,逃げ
アカツキスター,3,12,1300,22.578242914504322,53.36848940959307,1300.0,逃げ
アカツキスター,3,13,1400,20.950004242785262,58.141758132650146,1400.0,逃げ
