horse_number,horse_name,frame,actual_running_style,position_m,rank,lane,gap_from_leader,race_power,normalized_race_power,power_effect,ability_factor,target_rank_ratio,target_position_m,time,elapsed_time,progress
5,クロワデュノール,3,先行,0.0,1,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,0.0,0.0,0.0,0.0
16,メイショウタバル,8,逃げ,0.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,0.0,0.0,0.0,0.0
12,マイネルエンペラー,6,逃げ,0.0,3,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,0.0,0.0,0.0,0.0
4,ミクニインスパイア,2,先行,0.0,4,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,0.0,0.0,0.0,0.0
7,ファミリータイム,4,先行,0.0,5,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,0.0,0.0,0.0,0.0
1,ダノンデサイル,1,差し,0.0,6,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,0.0,0.0,0.0,0.0
2,ミュージアムマイル,1,先行,0.0,7,0.0,3.72,73.195,0.846,0.032,0.0,0.207,0.0,0.0,0.0,0.0
17,レガレイラ,8,先行,0.0,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,0.0,0.0,0.0,0.0
9,コスモキュランダ,5,先行,0.0,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,0.0,0.0,0.0,0.0
14,スティンガーグラス,7,差し,0.0,10,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,0.0,0.0,0.0,0.0
8,タガノデュード,4,追込,0.0,11,3.0,16.32,71.2,0.645,0.012,0.0,0.907,0.0,0.0,0.0,0.0
15,マイユニバース,7,差し,0.0,12,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,0.0,0.0,0.0,0.0
18,ミステリーウェイ,8,先行,0.0,13,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,0.0,0.0,0.0,0.0
10,ジューンテイク,5,差し,0.0,14,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,0.0,0.0,0.0,0.0
11,シンエンペラー,6,差し,0.0,15,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,0.0,0.0,0.0,0.0
3,シュガークン,2,先行,0.0,16,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,0.0,0.0,0.0,0.0
13,シェイクユアハート,7,差し,0.0,17,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,0.0,0.0,0.0,0.0
6,ビザンチンドリーム,3,追込,0.0,18,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,0.0,0.0,0.0,0.0
12,マイネルエンペラー,6,逃げ,20.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,20.92,1.43,1.43,0.01
16,メイショウタバル,8,逃げ,20.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,20.0,1.43,1.43,0.01
2,ミュージアムマイル,1,先行,18.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,18.28,1.43,1.43,0.01
3,シュガークン,2,先行,17.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,17.8,1.43,1.43,0.01
4,ミクニインスパイア,2,先行,17.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,17.32,1.43,1.43,0.01
5,クロワデュノール,3,先行,16.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,16.84,1.43,1.43,0.01
7,ファミリータイム,4,先行,16.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,16.5,1.43,1.43,0.01
17,レガレイラ,8,先行,16.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,16.5,1.43,1.43,0.01
9,コスモキュランダ,5,先行,16.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,16.5,1.43,1.43,0.01
18,ミステリーウェイ,8,先行,16.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,16.5,1.43,1.43,0.01
1,ダノンデサイル,1,差し,13.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,13.669,1.43,1.43,0.01
10,ジューンテイク,5,差し,12.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,12.897,1.43,1.43,0.01
11,シンエンペラー,6,差し,12.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,12.126,1.43,1.43,0.01
13,シェイクユアハート,7,差し,11.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,11.354,1.43,1.43,0.01
14,スティンガーグラス,7,差し,10.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,10.583,1.43,1.43,0.01
15,マイユニバース,7,差し,10.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,10.0,1.43,1.43,0.01
6,ビザンチンドリーム,3,追込,7.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,7.36,1.43,1.43,0.01
8,タガノデュード,4,追込,5.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,5.68,1.43,1.43,0.01
12,マイネルエンペラー,6,逃げ,42.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,42.92,2.86,2.86,0.02
16,メイショウタバル,8,逃げ,42.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,42.0,2.86,2.86,0.02
2,ミュージアムマイル,1,先行,40.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,40.28,2.86,2.86,0.02
3,シュガークン,2,先行,39.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,39.8,2.86,2.86,0.02
4,ミクニインスパイア,2,先行,39.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,39.32,2.86,2.86,0.02
5,クロワデュノール,3,先行,38.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,38.84,2.86,2.86,0.02
7,ファミリータイム,4,先行,38.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,38.5,2.86,2.86,0.02
17,レガレイラ,8,先行,38.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,38.5,2.86,2.86,0.02
9,コスモキュランダ,5,先行,38.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,38.5,2.86,2.86,0.02
18,ミステリーウェイ,8,先行,38.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,38.5,2.86,2.86,0.02
1,ダノンデサイル,1,差し,35.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,35.669,2.86,2.86,0.02
10,ジューンテイク,5,差し,34.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,34.897,2.86,2.86,0.02
11,シンエンペラー,6,差し,34.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,34.126,2.86,2.86,0.02
13,シェイクユアハート,7,差し,33.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,33.354,2.86,2.86,0.02
14,スティンガーグラス,7,差し,32.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,32.583,2.86,2.86,0.02
15,マイユニバース,7,差し,32.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,32.0,2.86,2.86,0.02
6,ビザンチンドリーム,3,追込,29.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,29.36,2.86,2.86,0.02
8,タガノデュード,4,追込,27.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,27.68,2.86,2.86,0.02
12,マイネルエンペラー,6,逃げ,64.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,64.92,4.29,4.29,0.03
16,メイショウタバル,8,逃げ,64.0,2,6.88,2.0,74.557,0.983,0.0456,0.0,0.12,64.0,4.29,4.29,0.03
2,ミュージアムマイル,1,先行,62.28,3,0.0,3.72,73.195,0.846,0.032,0.0,0.207,62.28,4.29,4.29,0.03
3,シュガークン,2,先行,61.8,4,1.12,4.2,52.467,-1.239,-0.1753,0.0,0.233,61.8,4.29,4.29,0.03
4,ミクニインスパイア,2,先行,61.32,5,0.88,4.68,62.769,-0.203,-0.0723,0.0,0.26,61.32,4.29,4.29,0.03
5,クロワデュノール,3,先行,60.84,6,2.12,5.16,84.154,1.5,0.1415,0.0,0.287,60.84,4.29,4.29,0.03
7,ファミリータイム,4,先行,60.5,7,3.12,5.5,60.592,-0.422,-0.0941,0.0,0.313,60.5,4.29,4.29,0.03
17,レガレイラ,8,先行,60.38,8,7.0,5.62,68.507,0.375,-0.0149,0.0,0.367,60.5,4.29,4.29,0.03
9,コスモキュランダ,5,先行,60.26,9,4.12,5.74,64.219,-0.057,-0.0578,0.0,0.34,60.5,4.29,4.29,0.03
18,ミステリーウェイ,8,先行,60.14,10,6.88,5.86,43.76,-1.5,-0.2624,0.0,0.393,60.5,4.29,4.29,0.03
1,ダノンデサイル,1,差し,57.669,11,0.24,8.331,79.175,1.448,0.0918,0.0,0.463,57.669,4.29,4.29,0.03
10,ジューンテイク,5,差し,56.897,12,4.0,9.103,67.114,0.234,-0.0289,0.0,0.506,56.897,4.29,4.29,0.03
11,シンエンペラー,6,差し,56.126,13,5.24,9.874,54.86,-0.998,-0.1514,0.0,0.549,56.126,4.29,4.29,0.03
13,シェイクユアハート,7,差し,55.354,14,6.24,10.646,67.357,0.259,-0.0264,0.0,0.591,55.354,4.29,4.29,0.03
14,スティンガーグラス,7,差し,54.583,15,6.0,11.417,61.121,-0.369,-0.0888,0.0,0.634,54.583,4.29,4.29,0.03
15,マイユニバース,7,差し,54.0,16,6.24,12.0,70.558,0.581,0.0056,0.0,0.677,54.0,4.29,4.29,0.03
6,ビザンチンドリーム,3,追込,51.36,17,2.0,14.64,58.422,-0.64,-0.1158,0.0,0.813,51.36,4.29,4.29,0.03
8,タガノデュード,4,追込,49.68,18,3.0,16.32,71.2,0.645,0.012,0.0,0.907,49.68,4.29,4.29,0.03
12,マイネルエンペラー,6,逃げ,86.92,1,4.88,1.08,52.086,-1.278,-0.1791,0.0,0.06,86.92,5.719,5.719,0.04
