horse_number,horse_name,frame,actual_running_style,position_m,rank,lane,gap_from_leader,race_power,performance_index,late_phase,time,elapsed_time,progress
16,メイショウタバル,8,逃げ,0.0,1,7.0,0.0,74.557,75.358,0.0,0.0,0.0,0.0
12,マイネルエンペラー,6,逃げ,0.0,2,5.0,1.8,52.086,66.306,0.0,0.0,0.0,0.0
5,クロワデュノール,3,先行,0.0,3,2.22,3.6,84.154,89.408,0.0,0.0,0.0,0.0
2,ミュージアムマイル,1,先行,0.0,4,0.0,5.4,73.195,82.272,0.0,0.0,0.0,0.0
17,レガレイラ,8,先行,0.0,5,7.0,7.2,68.507,79.338,0.0,0.0,0.0,0.0
9,コスモキュランダ,5,先行,0.0,6,4.22,9.0,64.219,71.241,0.0,0.0,0.0,0.0
4,ミクニインスパイア,2,先行,0.0,7,1.0,10.8,62.769,75.093,0.0,0.0,0.0,0.0
7,ファミリータイム,4,先行,0.0,8,3.22,12.6,60.592,73.6,0.0,0.0,0.0,0.0
3,シュガークン,2,先行,0.0,9,1.22,14.4,52.467,61.843,0.0,0.0,0.0,0.0
18,ミステリーウェイ,8,先行,0.0,10,7.0,16.2,43.76,58.039,0.0,0.0,0.0,0.0
1,ダノンデサイル,1,差し,0.0,11,0.22,18.0,79.175,85.766,0.0,0.0,0.0,0.0
15,マイユニバース,7,差し,0.0,12,6.22,18.0,70.558,80.631,0.0,0.0,0.0,0.0
10,ジューンテイク,5,差し,0.0,13,4.0,18.0,67.114,73.771,0.0,0.0,0.0,0.0
13,シェイクユアハート,7,差し,0.0,14,6.22,18.0,67.357,78.592,0.0,0.0,0.0,0.0
14,スティンガーグラス,7,差し,0.0,15,6.0,18.0,61.121,77.264,0.0,0.0,0.0,0.0
11,シンエンペラー,6,差し,0.0,16,5.22,18.0,54.86,73.209,0.0,0.0,0.0,0.0
8,タガノデュード,4,追込,0.0,17,3.0,18.0,71.2,81.806,0.0,0.0,0.0,0.0
6,ビザンチンドリーム,3,追込,0.0,18,2.0,18.0,58.422,76.695,0.0,0.0,0.0,0.0
16,メイショウタバル,8,逃げ,7.358,1,7.0,0.0,74.557,75.358,0.0,0.475,0.475,0.0033
12,マイネルエンペラー,6,逃げ,5.558,2,5.0,1.8,52.086,66.306,0.0,0.475,0.475,0.0033
5,クロワデュノール,3,先行,3.758,3,2.22,3.6,84.154,89.408,0.0,0.475,0.475,0.0033
2,ミュージアムマイル,1,先行,1.958,4,0.0,5.4,73.195,82.272,0.0,0.475,0.475,0.0033
17,レガレイラ,8,先行,0.158,5,7.0,7.2,68.507,79.338,0.0,0.475,0.475,0.0033
9,コスモキュランダ,5,先行,0.0,6,4.22,9.0,64.219,71.241,0.0,0.475,0.475,0.0033
4,ミクニインスパイア,2,先行,0.0,7,1.0,10.8,62.769,75.093,0.0,0.475,0.475,0.0033
7,ファミリータイム,4,先行,0.0,8,3.22,12.6,60.592,73.6,0.0,0.475,0.475,0.0033
3,シュガークン,2,先行,0.0,9,1.22,14.4,52.467,61.843,0.0,0.475,0.475,0.0033
18,ミステリーウェイ,8,先行,0.0,10,7.0,16.2,43.76,58.039,0.0,0.475,0.475,0.0033
1,ダノンデサイル,1,差し,0.0,11,0.22,18.0,79.175,85.766,0.0,0.475,0.475,0.0033
15,マイユニバース,7,差し,0.0,12,6.22,18.0,70.558,80.631,0.0,0.475,0.475,0.0033
10,ジューンテイク,5,差し,0.0,13,4.0,18.0,67.114,73.771,0.0,0.475,0.475,0.0033
13,シェイクユアハート,7,差し,0.0,14,6.22,18.0,67.357,78.592,0.0,0.475,0.475,0.0033
