horse_number,horse_name,frame,actual_running_style,position_m,rank,lane,gap_from_leader,race_power,performance_index,final_performance_score,late_power,normalized_final_performance,normalized_late_power,late_phase,late_ratio,gap_adjustment,tie_breaker,ability_factor,time,elapsed_time,progress
12,マイネルエンペラー,6,逃げ,0.0,1,5.0,0.0,52.086,66.306,69.937,70.065,-0.922,-0.864,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0
16,メイショウタバル,8,逃げ,0.0,2,7.0,0.35,74.557,75.358,74.809,68.679,-0.504,-0.975,0.0,0.0,0.0,0.227,0.0,0.0,0.0,0.0
2,ミュージアムマイル,1,先行,0.0,3,0.0,0.7,73.195,82.272,88.292,89.686,0.655,0.71,0.0,0.0,0.0,0.579,0.0,0.0,0.0,0.0
3,シュガークン,2,先行,0.0,4,1.22,1.05,52.467,61.843,62.755,59.629,-1.0,-1.25,0.0,0.0,0.0,-0.669,0.0,0.0,0.0,0.0
4,ミクニインスパイア,2,先行,0.0,5,1.0,1.4,62.769,75.093,80.598,81.531,-0.006,0.056,0.0,0.0,0.0,0.142,0.0,0.0,0.0,0.0
5,クロワデュノール,3,先行,0.0,6,2.22,1.75,84.154,89.408,93.784,92.129,1.0,0.906,0.0,0.0,0.0,-0.074,0.0,0.0,0.0,0.0
7,ファミリータイム,4,先行,0.0,7,3.22,2.1,60.592,73.6,79.145,79.588,-0.131,-0.1,0.0,0.0,0.0,-0.623,0.0,0.0,0.0,0.0
9,コスモキュランダ,5,先行,0.0,8,4.22,2.45,64.219,71.241,72.936,69.798,-0.665,-0.886,0.0,0.0,0.0,-0.541,0.0,0.0,0.0,0.0
17,レガレイラ,8,先行,0.0,9,7.0,2.8,68.507,79.338,86.312,88.703,0.485,0.631,0.0,0.0,0.0,0.713,0.0,0.0,0.0,0.0
18,ミステリーウェイ,8,先行,0.0,10,7.0,3.15,43.76,58.039,58.955,56.534,-1.0,-1.25,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,0.0
1,ダノンデサイル,1,差し,0.0,11,0.22,3.5,79.175,85.766,91.14,90.782,0.9,0.798,0.0,0.0,0.0,-0.57,0.0,0.0,0.0,0.0
10,ジューンテイク,5,差し,0.0,12,4.0,3.85,67.114,73.771,79.136,80.181,-0.132,-0.053,0.0,0.0,0.0,0.361,0.0,0.0,0.0,0.0
11,シンエンペラー,6,差し,0.0,13,5.22,4.2,54.86,73.209,81.503,84.782,0.072,0.316,0.0,0.0,0.0,-0.07,0.0,0.0,0.0,0.0
13,シェイクユアハート,7,差し,0.0,14,6.22,4.55,67.357,78.592,85.989,87.365,0.457,0.524,0.0,0.0,0.0,-0.56,0.0,0.0,0.0,0.0
14,スティンガーグラス,7,差し,0.0,15,6.0,4.9,61.121,77.264,85.596,88.751,0.424,0.635,0.0,0.0,0.0,-0.042,0.0,0.0,0.0,0.0
15,マイユニバース,7,差し,0.0,16,6.22,5.25,70.558,80.631,87.338,88.656,0.573,0.627,0.0,0.0,0.0,-0.769,0.0,0.0,0.0,0.0
6,ビザンチンドリーム,3,追込,0.0,17,2.0,5.6,58.422,76.695,85.182,88.356,0.388,0.603,0.0,0.0,0.0,0.338,0.0,0.0,0.0,0.0
8,タガノデュード,4,追込,0.0,18,3.0,5.95,71.2,81.806,88.626,89.88,0.684,0.725,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
16,メイショウタバル,8,逃げ,7.358,1,7.0,0.0,74.557,75.358,74.809,68.679,-0.504,-0.975,0.0,0.0,0.0,0.227,0.0,0.475,0.475,0.0033
12,マイネルエンペラー,6,逃げ,7.008,2,5.0,0.35,52.086,66.306,69.937,70.065,-0.922,-0.864,0.0,0.0,0.0,0.09,0.0,0.475,0.475,0.0033
5,クロワデュノール,3,先行,6.658,3,2.22,0.7,84.154,89.408,93.784,92.129,1.0,0.906,0.0,0.0,0.0,-0.074,0.0,0.475,0.475,0.0033
2,ミュージアムマイル,1,先行,6.308,4,0.0,1.05,73.195,82.272,88.292,89.686,0.655,0.71,0.0,0.0,0.0,0.579,0.0,0.475,0.475,0.0033
17,レガレイラ,8,先行,5.958,5,7.0,1.4,68.507,79.338,86.312,88.703,0.485,0.631,0.0,0.0,0.0,0.713,0.0,0.475,0.475,0.0033
9,コスモキュランダ,5,先行,5.608,6,4.22,1.75,64.219,71.241,72.936,69.798,-0.665,-0.886,0.0,0.0,0.0,-0.541,0.0,0.475,0.475,0.0033
4,ミクニインスパイア,2,先行,5.258,7,1.0,2.1,62.769,75.093,80.598,81.531,-0.006,0.056,0.0,0.0,0.0,0.142,0.0,0.475,0.475,0.0033
7,ファミリータイム,4,先行,4.908,8,3.22,2.45,60.592,73.6,79.145,79.588,-0.131,-0.1,0.0,0.0,0.0,-0.623,0.0,0.475,0.475,0.0033
3,シュガークン,2,先行,4.558,9,1.22,2.8,52.467,61.843,62.755,59.629,-1.0,-1.25,0.0,0.0,0.0,-0.669,0.0,0.475,0.475,0.0033
