race_name,year,race_id,venue,surface,distance,track_condition,finish,horse_name,frame,horse_number,age,sex,carried_weight,jockey,previous_jockey,jockey_change_type,running_style,passing_order,fourth_corner_pos,last3f,last3f_rank,previous_race_class,previous_distance,sire,broodmare_sire
北九州記念,2025,202510020411,小倉,芝,1200,良,1,ヤマニンアルリフラ,5,9,0,,55.0,団野,,,,10-7,7,34.7,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,2,ヨシノイースター,8,18,0,,58.0,内田博,,,,5-7,7,35.1,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,3,アブキールベイ,7,14,0,,53.0,坂井,,,,10-13,13,34.7,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,4,ヤマニンアンフィル,1,1,0,,53.0,亀田,,,,14-13,13,34.6,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,5,キタノエクスプレス,8,17,0,,57.0,国分優,,,,14-15,15,34.6,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,6,ドロップオブライト,6,11,0,,56.0,小沢,,,,14-15,15,34.8,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,7,ミルトクレイモー,2,4,0,,54.0,松山,,,,14-15,15,34.9,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,8,スリーアイランド,6,12,0,,52.0,田口,,,,5-4,4,35.5,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,9,ロードフォアエース,7,15,0,,56.5,川田,,,,4-4,4,35.7,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,10,レッドヒルシューズ,2,3,0,,53.0,高倉,,,,14-18,18,35.1,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,11,カリボール,1,2,0,,56.0,西塚,,,,10-10,10,35.5,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,12,エイシンワンド,4,8,0,,54.0,吉村,,,,5-4,4,35.9,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,13,メイショウソラフネ,3,6,0,,57.0,酒井,,,,10-10,10,35.6,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,14,タマモブラックタイ,5,10,0,,55.0,角田和,,,,2-2,2,36.4,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,15,モズメイメイ,3,5,0,,56.5,高杉,,,,5-7,7,36.4,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,16,シロン,8,16,0,,53.0,国分恭,,,,2-1,1,36.8,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,17,クラスペディア,4,7,0,,54.0,小崎,,,,1-2,2,37.0,0,,0,,
北九州記念,2025,202510020411,小倉,芝,1200,良,18,オタルエバー,7,13,0,,57.5,幸,,,,9-10,10,39.6,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,1,ピューロマジック,6,12,0,,53.0,松山,,,,1-1,1,35.6,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,2,ヨシノイースター,8,16,0,,57.0,丸山,,,,3-2,2,35.3,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,3,モズメイメイ,4,7,0,,55.0,国分恭,,,,9-5,5,35.1,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,4,カンチェンジュンガ,7,13,0,,55.0,田口貫,,,,11-9,9,34.9,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,5,ショウナンハクラク,7,15,0,,56.0,小沢,,,,11-13,13,34.9,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,6,ナナオ,7,14,0,,52.0,和田竜,,,,7-8,8,35.3,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,7,メイショウソラフネ,3,5,0,,56.0,横山典,,,,11-9,9,35.4,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,8,ヤクシマ,3,6,0,,55.0,幸,,,,16-14,14,35.2,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,9,エイシンスポッター,5,10,0,,58.0,角田河,,,,11-9,9,35.5,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,10,バースクライ,8,18,0,,55.0,西村淳,,,,7-9,9,35.9,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,11,ディヴィナシオン,1,1,0,,56.0,松本,,,,16-14,14,35.4,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,12,サーマルウインド,2,3,0,,55.5,川田,,,,5-5,5,36.1,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,13,トゥラヴェスーラ,4,8,0,,58.0,永島,,,,18-17,17,35.3,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,14,グランテスト,2,4,0,,53.0,坂井,,,,5-5,5,36.3,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,15,メディーヴァル,8,17,0,,53.0,小崎,,,,11-17,17,35.9,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,16,ジャスパークローネ,6,11,0,,58.5,団野,,,,9-14,14,36.4,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,17,ペアポルックス,5,9,0,,54.0,松若,,,,2-2,2,37.2,0,,0,,
北九州記念,2024,202410030211,小倉,芝,1200,稍重,18,テイエムスパーダ,1,2,0,,56.0,酒井,,,,3-4,4,37.3,0,,0,,
